绑架罪,bang'jia'zui
家庭权力,jia'ting'quan'li
加重处罚,jia'zhong'chu'fa
加重判决,jia'zhong'pan'jue
加重罪,jia'zhong'zui
减免责任,jian'mian'ze'ren
简易裁判罪,jian'yi'cai'pan'zui
较轻违法行为理论,jiao'qing'wei'fa'xing'wei'li'lun
教唆争讼罪,jiao'suo'zheng'song'zui
教唆罪,jiao'suo'zui
教育说,jiao'yu'shuo
矫正说,jiao'zheng'shuo
结果说,jie'guo'shuo
结果责任,jie'guo'ze'ren
接近理论,jie'jin'li'lun
介入原因,jie'ru'yuan'yin
具保释放令,ju'bao'shi'fang'ling
绝对免责,jue'dui'mian'ze
绝对释放,jue'dui'shi'fang
绝对责任,jue'dui'ze'ren
客观罪过,ke'guan'zui'guo
可减轻的重罪,ke'jian'qing'de'zhong'zui
可能停止理论,ke'neng'ting'zhi'li'lun
可疑性理论,ke'yi'xing'li'lun
恐吓说,kong'he'shuo
空头支票罪,kong'tou'zhi'piao'zui
苦工,ku'gong
冷静时间,leng'jing'shi'jian
流浪罪,liu'lang'zui
拢络陪审员罪,long'luo'pei'shen'yuan'zui
乱伦罪,luan'lun'zui
卖淫罪,mai'yin'zui
谋杀罪,mou'sha'zui
谋杀罪等级,mou'sha'zui'deng'ji
虐尸罪,nue'shi'zui
殴击罪,ou'ji'zui
叛逆罪,pan'ni'zui
赔偿令,pei'chang'ling
赔偿受害者,pei'chang'shou'hai'zhe
普通法犯罪,pu'tong'fa'fan'zui
期待罪,qi'dai'zui
强制性判决,qiang'zhi'xing'pan'jue
侵犯者自卫权,qin'fan'zhe'zi'wei'quan
青少年劣行,qing'shao'nian'lie'xing
轻微轻罪,qing'wei'qing'zui
轻罪等级,qing'zui'deng'ji
确定判决,que'ding'pan'jue
染血体的抗辨理由,ran'xue'ti'de'kang'bian'li'you
人身保护状,ren'shen'bao'hu'zhuang
人身条件的犯罪,ren'shen'tiao'jian'de'fan'zui
骚动罪,sao'dong'zui
杀婴罪,sha'ying'zui
煽动暴动罪,shan'dong'bao'dong'zui
煽动罪,shan'dong'zui
社会服务令,she'hui'fu'wu'ling
是非说,shi'fei'shuo
事后从犯,shi'hou'cong'fan
事前从犯,shi'qian'cong'fan
事实上的原因,shi'shi'shang'de'yuan'yin
实质能力说,shi'zhi'neng'li'shuo
实质因素说,shi'zhi'yin'su'shuo
收受赃物罪,shou'shou'zang'wu'zui
私和罪,si'he'zui
私生活权,si'sheng'huo'quan
私通罪,si'tong'zui
死刑内阁会议,si'xing'nei'ge'hui'yi
特殊犯意,te'shu'fan'yi
替代责任,ti'dai'ze'ren
通奸罪,tong'jian'zui
图谋杀害的谋杀,tu'mou'sha'hai'de'mou'sha
图谋重伤的谋杀,tu'mou'zhong'shang'de'mou'sha
推定暴力,tui'ding'bao'li
推定犯意,tui'ding'fan'yi
推定谋杀,tui'ding'mou'sha
退却的必要,tui'que'de'bi'yao
猥秽交媾罪,wei'hui'jiao'gou'zui
威迫,wei'po
威慑说,wei'she'shuo
未遂罪,wei'sui'zui
未完成罪,wei'wan'cheng'zui
沃顿规则,wo'dun'gui'ze
无被害人犯罪,wu'bei'hai'ren'fan'zui
无偿劳动,wu'chang'lao'dong
无犯意不为罪,wu'fan'yi'bu'wei'zui
无条件释放,wu'tiao'jian'shi'fang
无罪过责任,wu'zui'guo'ze'ren
袭击罪,xi'ji'zui
协作缓刑制,xie'zuo'huan'xing'zhi
刑事破产,xing'shi'po'chan
刑事普通法,xing'shi'pu'tong'fa
刑事制定法,xing'shi'zhi'ding'fa
行为和犯意并存,xing'wei'he'fan'yi'bing'cun
严格责任,yan'ge'ze'ren
夜盗罪,ye'dao'zui
野兽说,ye'shou'shuo
一般犯意,yi'ban'fan'yi
一级谋杀罪,yi'ji'mou'sha'zui
一级主犯,yi'ji'zhu'fan
一年零一日规则,yi'nian'ling'yi'ri'gui'ze
应逮捕罪,ying'dai'bu'zui
应检控罪,ying'jian'kong'zui
英美法系刑法渊源,ying'mei'fa'xi'xing'fa'yuan'yuan
英美刑法犯罪分类,ying'mei'xing'fa'fan'zui'fen'lei
拥有犯罪,yong'you'fan'zui
诱捕,you'bu
诱拐罪,you'guai'zui
有条件释放,you'tiao'jian'shi'fang
有形接近说,you'xing'jie'jin'shuo
预防判决,yu'fang'pan'jue
预防说,yu'fang'shuo
暂缓行刑,zan'huan'xing'xing
制定法犯罪,zhi'ding'fa'fan'zui
制定法强奸罪,zhi'ding'fa'qiang'jian'zui
制定法窃取罪,zhi'ding'fa'qie'qu'zui
致命的武力,zhi'ming'de'wu'li
致命武器论,zhi'ming'wu'qi'lun
致其无能说,zhi'qi'wu'neng'shuo
知情不举罪,zhi'qing'bu'ju'zui
重伤罪,zhong'shang'zui
终身监禁,zhong'shen'jian'jin
重罪等级,zhong'zui'deng'ji
重罪谋杀,zhong'zui'mou'sha
助成疏忽,zhu'cheng'shu'hu
主观罪过,zhu'guan'zui'guo
主要犯罪,zhu'yao'fan'zui
转移的犯意,zhuan'yi'de'fan'yi
准犯罪,zhun'fan'zui
自动作用,zi'dong'zuo'yong
自领犯罪,zi'ling'fan'zui
滋扰罪,zi'rao'zui
自杀罪,zi'sha'zui
自卫,zi'wei
自我归罪,zi'wo'gui'zui
自愿被害人犯罪,zi'yuan'bei'hai'ren'fan'zui
自愿的非预谋性杀人罪,zi'yuan'de'fei'yu'mou'xing'sha'ren'zui
自愿的醉酒,zi'yuan'de'zui'jiu
自愿行为,zi'yuan'xing'wei
自愿中止,zi'yuan'zhong'zhi
最接近原因,zui'jie'jin'yuan'yin
醉酒,zui'jiu
最终接近行为说,zui'zhong'jie'jin'xing'wei'shuo
