阿伦方差,a'lun'fang'cha
八仙花,ba'xian'hua
坝型,ba'xing
扒移力,ba'yi'li
坝轴线,ba'zhou'xian
白菜类蔬菜,bai'cai'lei'shu'cai
白菜型油菜,bai'cai'xing'you'cai
白车轴草,bai'che'zhou'cao
白炽灯,bai'chi'deng
百虫窝,bai'chong'wo
白刺,bai'ci
白丁香,bai'ding'xiang
白垩系,bai'e'xi
白附子,bai'fu'zi
白宫米黄,bai'gong'mi'huang
白海棠,bai'hai'tang
百合科,bai'he'ke
白糊糊,bai'hu'hu
白花菜,bai'hua'cai
白环俞,bai'huan'yu
白鹃梅,bai'juan'mei
柏科,bai'ke
百劳,bai'lao
拜领,bai'ling
白领化,bai'ling'hua
白窿石,bai'long'shi
百脉根,bai'mai'gen
白米分级,bai'mi'fen'ji
白判,bai'pan
白千层,bai'qian'ceng
白砂米黄,bai'sha'mi'huang
白砂石,bai'sha'shi
白沙州,bai'sha'zhou
白橡,bai'xiang
白橡木,bai'xiang'mu
摆闸,bai'zha
半板,ban'ban
半边莲,ban'bian'lian
板材,ban'cai
半成品,ban'cheng'pin
半导体,ban'dao'ti
半导体玻璃,ban'dao'ti'bo'li
半导体陶瓷,ban'dao'ti'tao'ci
板底钢筋,ban'di'gang'jin
斑点,ban'dian
板顶,ban'ding
板顶钢筋,ban'ding'gang'jin
半冬性,ban'dong'xing
板枋材,ban'fang'cai
绊根草,ban'gen'cao
办公室,ban'gong'shi
拌合机,ban'he'ji
半混合湖,ban'hun'he'hu
拌和,ban'huo
拌和法,ban'huo'fa
拌和楼,ban'huo'lou
拌和设备,ban'huo'she'bei
斑晶,ban'jing
板块边界,ban'kuai'bian'jie
板块运动,ban'kuai'yun'dong
伴侣动物,ban'lv'dong'wu
斑马红,ban'ma'hong
半耐寒蔬菜,ban'nai'han'shu'cai
板内地震,ban'nei'di'zhen
版权,ban'quan
瓣蕊唐松草,ban'rui'tang'song'cao
半身不遂,ban'shen'bu'sui
板式散热器,ban'shi'san're'qi
板式橡胶支座,ban'shi'xiang'jiao'zhi'zuo
扳手套筒,ban'shou'tao'tong
伴送,ban'song
板条抹灰,ban'tiao'mo'hui
板岩,ban'yan
拌种机,ban'zhong'ji
斑状结构,ban'zhuang'jie'gou
班组,ban'zu
蚌花,bang'hua
傍名人,bang'ming'ren
绑扎,bang'za
帮扎,bang'zha
帮扎钢筋,bang'zha'gang'jin
保安器材,bao'an'qi'cai
薄壁钢管,bao'bi'gang'guan
刨边机,bao'bian'ji
报不成,bao'bu'cheng
薄层电阻,bao'ceng'dian'zu
薄层流,bao'ceng'liu
保持水土,bao'chi'shui'tu
暴沸,bao'fei
包箍,bao'gu
保管期限,bao'guan'qi'xian
雹害,bao'hai
饱和度,bao'he'du
饱和湿度,bao'he'shi'du
饱和土,bao'he'tu
饱和指数,bao'he'zhi'shu
刨痕,bao'hen
暴洪,bao'hong
暴洪河流,bao'hong'he'liu
保护工作,bao'hu'gong'zuo
保护膜,bao'hu'mo
保护农田,bao'hu'nong'tian
保护与开发,bao'hu'yu'kai'fa
保护站,bao'hu'zhan
胞肓,bao'huang
保活,bao'huo
保假,bao'jia
保健菜,bao'jian'cai
宝金米黄,bao'jin'mi'huang
宝金石,bao'jin'shi
报警蜂鸣器,bao'jing'feng'ming'qi
枹栎,bao'li
保丽板,bao'li'ban
爆粒玉米,bao'li'yu'mi
保廉,bao'lian
暴盲,bao'mang
保密系统,bao'mi'xi'tong
保密学,bao'mi'xue
报名回执,bao'ming'hui'zhi
刨木机,bao'mu'ji
豹皮花,bao'pi'hua
爆破漏斗,bao'po'lou'dou
曝气,bao'qi
包气带水,bao'qi'dai'shui
宝石兰,bao'shi'lan
宝塔组,bao'ta'zu
爆腾,bao'teng
保险丝,bao'xian'si
宝兴白,bao'xing'bai
暴雨径流,bao'yu'jing'liu
暴雨强度,bao'yu'qiang'du
抱子甘蓝,bao'zi'gan'lan
北部边界,bei'bu'bian'jie
被动锁模,bei'dong'suo'mo
被动显示,bei'dong'xian'shi
北风,bei'feng
倍感欣慰,bei'gan'xin'wei
被关停,bei'guan'ting
被害率,bei'hai'lv
北极,bei'ji
备件,bei'jian
北京丁香,bei'jing'ding'xiang
背景辐射,bei'jing'fu'she
北京理正,bei'jing'li'zheng
背景幕,bei'jing'mu
北京杨,bei'jing'yang
备课时,bei'ke'shi
背立面,bei'li'mian
悖乱,bei'luan
背面,bei'mian
背坡,bei'po
贝沙金,bei'sha'jin
备受欢迎,bei'shou'huan'ying
备受青睐,bei'shou'qing'lai
背水面,bei'shui'mian
背水坡,bei'shui'po
陂塘,bei'tang
北西西,bei'xi'xi
北向坡,bei'xiang'po
北翼,bei'yi
倍增极,bei'zeng'ji
倍增系统,bei'zeng'xi'tong
本次工作,ben'ci'gong'zuo
本次勘察,ben'ci'kan'cha
本构关系,ben'gou'guan'xi
本构模型,ben'gou'mo'xing
本来就是如此,ben'lai'jiu'shi'ru'ci
本年预算,ben'nian'yu'suan
本征载流子,ben'zheng'zai'liu'zi
崩岗,beng'gang
泵浦,beng'pu
泵浦速率,beng'pu'su'lv
泵浦效率,beng'pu'xiao'lv
崩塌,beng'ta
泵站,beng'zhan
泵站排水,beng'zhan'pai'shui
泵座,beng'zuo
避病性,bi'bing'xing
壁灯架,bi'deng'jia
比电容,bi'dian'rong
笔断意连,bi'duan'yi'lian
壁挂电视,bi'gua'dian'shi
髀关,bi'guan
比贯入阻力,bi'guan'ru'zu'li
闭架,bi'jia
必佳,bi'jia
逼近,bi'jin
逼近度,bi'jin'du
闭坑,bi'keng
闭坑后,bi'keng'hou
鼻孔,bi'kong
避雷器型号,bi'lei'qi'xing'hao
避雷系统,bi'lei'xi'tong
避雷针,bi'lei'zhen
比例,bi'li
闭流区,bi'liu'qu
闭路循环,bi'lu'xun'huan
臂臑,bi'nao
比能量,bi'neng'liang
比容量,bi'rong'liang
比萨锅,bi'sa'guo
闭水试验,bi'shui'shi'yan
鼻通,bi'tong
壁效应,bi'xiao'ying
必须互相,bi'xu'hu'xiang
必需元素,bi'xu'yuan'su
毕业实习报告,bi'ye'shi'xi'bao'gao
鼻渊,bi'yuan
闭证,bi'zheng
壁纸,bi'zhi
比值计,bi'zhi'ji
边瓣,bian'ban
变标高,bian'biao'gao
变长码,bian'chang'ma
编程调试,bian'cheng'tiao'shi
编凑,bian'cou
鞭打快驴,bian'da'kuai'lv
便道,bian'dao
变电所,bian'dian'suo
边墩,bian'dun
变更通知,bian'geng'tong'zhi
边沟,bian'gou
变光灯,bian'guang'deng
边夯,bian'hang
编花,bian'hua
变换,bian'huan
变换增益,bian'huan'zeng'yi
贬毁,bian'hui
边际效应,bian'ji'xiao'ying
边界角,bian'jie'jiao
边界条件,bian'jie'tiao'jian
变孔隙滤池,bian'kong'xi'lv'chi
边框,bian'kuang
边框梁,bian'kuang'liang
边框柱,bian'kuang'zhu
变量,bian'liang
变量数列,bian'liang'shu'lie
编码,bian'ma
编码定理,bian'ma'ding'li
编目,bian'mu
编目造册,bian'mu'zao'ce
变配电站,bian'pei'dian'zhan
变频柜,bian'pin'gui
变频器,bian'pin'qi
边坡,bian'po
边坡平台,bian'po'ping'tai
边坡坡度,bian'po'po'du
边坡稳定,bian'po'wen'ding
边坡治理,bian'po'zhi'li
扁桃果,bian'tao'guo
边图,bian'tu
变温水层,bian'wen'shui'ceng
边线,bian'xian
变形,bian'xing
变性,bian'xing
变形模量,bian'xing'mo'liang
变形特征,bian'xing'te'zheng
变压器,bian'ya'qi
编译码器,bian'yi'ma'qi
边缘构件,bian'yuan'gou'jian
编制办法,bian'zhi'ban'fa
编织袋,bian'zhi'dai
编织袋围堰,bian'zhi'dai'wei'yan
编制工作,bian'zhi'gong'zuo
编制任务,bian'zhi'ren'wu
编制完成,bian'zhi'wan'cheng
编制依据,bian'zhi'yi'ju
边支座,bian'zhi'zuo
变质作用,bian'zhi'zuo'yong
边柱,bian'zhu
辫状河,bian'zhuang'he
扁嘴钳,bian'zui'qian
标本采集,biao'ben'cai'ji
表厂,biao'chang
标称电容,biao'cheng'dian'rong
标高,biao'gao
表格显示,biao'ge'xian'shi
标号,biao'hao
标记,biao'ji
标记技术,biao'ji'ji'shu
杓兰,biao'lan
表面冲洗,biao'mian'chong'xi
表面势,biao'mian'shi
表面水力负荷,biao'mian'shui'li'fu'he
表面态,biao'mian'tai
表内科目,biao'nei'ke'mu
标牌,biao'pai
标图板,biao'tu'ban
表外科目,biao'wai'ke'mu
表为,biao'wei
飙信,biao'xin
表虚,biao'xu
标引,biao'yin
表证,biao'zheng
标志,biao'zhi
标志碑,biao'zhi'bei
标志牌,biao'zhi'pai
标志性工程,biao'zhi'xing'gong'cheng
标注,biao'zhu
标准白,biao'zhun'bai
标准层平面,biao'zhun'ceng'ping'mian
标准大样,biao'zhun'da'yang
标准冻深,biao'zhun'dong'shen
标准构件,biao'zhun'gou'jian
标准贯入试验,biao'zhun'guan'ru'shi'yan
标准截面,biao'zhun'jie'mian
标准小区,biao'zhun'xiao'qu
标准一览表,biao'zhun'yi'lan'biao
标准组合,biao'zhun'zu'he
表座,biao'zuo
宾格笼,bin'ge'long
宾格网,bin'ge'wang
冰坝,bing'ba
冰雹,bing'bao
并不多呀,bing'bu'duo'ya
并不好做,bing'bu'hao'zuo
并布置,bing'bu'zhi
病虫害监测,bing'chong'hai'jian'ce
冰川侵蚀,bing'chuan'qin'shi
冰川作用,bing'chuan'zuo'yong
病毒,bing'du
病毒防火墙,bing'du'fang'huo'qiang
秉风,bing'feng
病害循环,bing'hai'xun'huan
冰花白,bing'hua'bai
冰积土,bing'ji'tu
并联,bing'lian
并论述,bing'lun'shu
兵器装备,bing'qi'zhuang'bei
病人监护仪,bing'ren'jian'hu'yi
病入膏肓,bing'ru'gao'huang
丙烯酸涂料,bing'xi'suan'tu'liao
丙烯型,bing'xi'xing
兵足,bing'zu
波导,bo'dao
波导色散,bo'dao'se'san
波动,bo'dong
波段,bo'duan
波段开关,bo'duan'kai'guan
薄腹梁,bo'fu'liang
伯格斯矢量,bo'ge'si'shi'liang
驳骨丹,bo'gu'dan
泊管,bo'guan
波浪,bo'lang
波浪侵蚀,bo'lang'qin'shi
玻璃,bo'li
玻璃杯,bo'li'bei
玻璃布,bo'li'bu
玻璃钢瓦,bo'li'gang'wa
玻璃钢制品,bo'li'gang'zhi'pin
玻璃割刀,bo'li'ge'dao
伯利黄,bo'li'huang
剥离剂,bo'li'ji
玻璃菊,bo'li'ju
玻璃马赛克,bo'li'ma'sai'ke
玻璃幕墙,bo'li'mu'qiang
玻璃丝布,bo'li'si'bu
玻璃堂,bo'li'tang
播量,bo'liang
菠萝,bo'luo
博落回,bo'luo'hui
薄膜,bo'mo
薄膜唱片,bo'mo'chang'pian
薄膜太阳电池,bo'mo'tai'yang'dian'chi
薄弱层,bo'ruo'ceng
剥蚀,bo'shi
波斯红,bo'si'hong
泊松比,bo'song'bi
波松比,bo'song'bi
波特,bo'te
箔条云,bo'tiao'yun
箔线,bo'xian
博信,bo'xin
不安全因素,bu'an'quan'yin'su
补偿电路,bu'chang'dian'lu
补偿柜,bu'chang'gui
不齿之事,bu'chi'zhi'shi
补充论述,bu'chong'lun'shu
补充水,bu'chong'shui
补充业务,bu'chong'ye'wu
布达拉宫,bu'da'la'gong
布袋架,bu'dai'jia
不等肢角钢,bu'deng'zhi'jiao'gang
不动产,bu'dong'chan
不断加剧,bu'duan'jia'ju
不断增多,bu'duan'zeng'duo
步伐不断加快,bu'fa'bu'duan'jia'kuai
部分测试,bu'fen'ce'shi
部分干扰,bu'fen'gan'rao
部分工作量,bu'fen'gong'zuo'liang
不敢独享,bu'gan'du'xiang
不够,bu'gou
不忌生冷,bu'ji'sheng'leng
步甲,bu'jia
部件,bu'jian
部件名称,bu'jian'ming'cheng
步进继电器,bu'jin'ji'dian'qi
步进角,bu'jin'jiao
步进频率,bu'jin'pin'lv
步进衰减器,bu'jin'shuai'jian'qi
步距,bu'ju
不均一,bu'jun'yi
不可分离,bu'ke'fen'li
不可为训,bu'ke'wei'xun
步廊,bu'lang
不良地质作用,bu'liang'di'zhi'zuo'yong
不留后路,bu'liu'hou'lu
不能工作时间,bu'neng'gong'zuo'shi'jian
不能同,bu'neng'tong
不能作,bu'neng'zuo
不怕付出,bu'pa'fu'chu
不起来呀,bu'qi'lai'ya
补强层,bu'qiang'ceng
不全位错,bu'quan'wei'cuo
不容,bu'rong
不容分辩,bu'rong'fen'bian
不上人屋面,bu'shang'ren'wu'mian
布设时,bu'she'shi
布设于,bu'she'yu
不是对你,bu'shi'dui'ni
不是甲方,bu'shi'jia'fang
捕食性天敌,bu'shi'xing'tian'di
部署原则,bu'shu'yuan'ze
不太通,bu'tai'tong
不完全统计,bu'wan'quan'tong'ji
不稳定边坡,bu'wen'ding'bian'po
不稳定河槽,bu'wen'ding'he'cao
布线,bu'xian
布线管道,bu'xian'guan'dao
布线时,bu'xian'shi
不锈钢,bu'xiu'gang
不锈钢杯,bu'xiu'gang'bei
不锈钢餐具,bu'xiu'gang'can'ju
不锈钢地漏,bu'xiu'gang'di'lou
不锈钢酒壶,bu'xiu'gang'jiu'hu
不锈钢器皿,bu'xiu'gang'qi'min
不锈钢丝,bu'xiu'gang'si
不锈钢锁,bu'xiu'gang'suo
不锈钢丸,bu'xiu'gang'wan
不锈钢装饰板,bu'xiu'gang'zhuang'shi'ban
不需要人工,bu'xu'yao'ren'gong
不要赶,bu'yao'gan
不要狗,bu'yao'gou
不孕,bu'yun
不整合,bu'zheng'he
布置图,bu'zhi'tu
补助标准,bu'zhu'biao'zhun
补桩,bu'zhuang
擦地角,ca'di'jiao
擦米,ca'mi
踩步金,cai'bu'jin
财产税,cai'chan'shui
采伐活动,cai'fa'huo'dong
采伐迹地,cai'fa'ji'di
采伐利用管理,cai'fa'li'yong'guan'li
采伐林木,cai'fa'lin'mu
采伐时间,cai'fa'shi'jian
采伐限额,cai'fa'xian'e
采伐许可证,cai'fa'xu'ke'zheng
采伐证,cai'fa'zheng
裁缝剪,cai'feng'jian
彩钢压型板,cai'gang'ya'xing'ban
采购帐户,cai'gou'zhang'hu
采果剪,cai'guo'jian
彩虹沙石,cai'hong'sha'shi
彩绘,cai'hui
财建,cai'jian
采矿后,cai'kuang'hou
采矿活动,cai'kuang'huo'dong
采矿许可证,cai'kuang'xu'ke'zheng
材料,cai'liao
材料色散,cai'liao'se'san
材料图,cai'liao'tu
菜螟,cai'ming
采暖,cai'nuan
彩色红脊瓦,cai'se'hong'ji'wa
彩色红泥浪板,cai'se'hong'ni'lang'ban
彩色红泥浪瓦,cai'se'hong'ni'lang'wa
彩色可视,cai'se'ke'shi
彩色屋面,cai'se'wu'mian
彩色显象管,cai'se'xian'xiang'guan
财审科,cai'shen'ke
彩条信号,cai'tiao'xin'hao
彩涂,cai'tu
彩涂复合板,cai'tu'fu'he'ban
彩瓦,cai'wa
财务科,cai'wu'ke
采样,cai'yang
采样测试,cai'yang'ce'shi
采用,cai'yong
采摘期,cai'zhai'qi
参比电极,can'bi'dian'ji
残茬,can'cha
残党,can'dang
残灯末庙,can'deng'mo'miao
蚕豆,can'dou
残积物,can'ji'wu
残酒,can'jiu
参考白,can'kao'bai
参考波束,can'kao'bo'shu
参考带,can'kao'dai
参考当量,can'kao'dang'liang
参考电路,can'kao'dian'lu
参考载波,can'kao'zai'bo
参量估计,can'liang'gu'ji
参量型检测,can'liang'xing'jian'ce
残留,can'liu
残留北坡,can'liu'bei'po
残留矿渣,can'liu'kuang'zha
残坡积层,can'po'ji'ceng
残坡积物,can'po'ji'wu
参数检验,can'shu'jian'yan
惨遭屠戮,can'zao'tu'lu
参证水文站,can'zheng'shui'wen'zhan
餐桌经济,can'zhuo'jing'ji
藏花忍冬,cang'hua'ren'dong
仓库搭建,cang'ku'da'jian
苍哑,cang'ya
草板纸,cao'ban'zhi
槽床,cao'chuang
草袋,cao'dai
草袋粘土围堰,cao'dai'nian'tu'wei'yan
草袋围堰,cao'dai'wei'yan
槽底,cao'di
草地风毛菊,cao'di'feng'mao'ju
草地螟,cao'di'ming
草袱,cao'fu
槽谷,cao'gu
草剪,cao'jian
草蛉,cao'ling
糙米,cao'mi
槽内处理法,cao'nei'chu'li'fa
草耙,cao'pa
草坪栽植,cao'ping'zai'zhi
槽式配水系统,cao'shi'pei'shui'xi'tong
操守好,cao'shou'hao
槽探,cao'tan
草田轮作,cao'tian'lun'zuo
草图,cao'tu
操行可移动架,cao'xing'ke'yi'dong'jia
草原变少,cao'yuan'bian'shao
操作不对,cao'zuo'bu'dui
操作电源,cao'zuo'dian'yuan
操作者,cao'zuo'zhe
测点,ce'dian
测点实测时,ce'dian'shi'ce'shi
测高雷达,ce'gao'lei'da
测绘,ce'hui
侧击雷,ce'ji'lei
侧金盏花,ce'jin'zhan'hua
测井孔,ce'jing'kong
测井时,ce'jing'shi
测距码,ce'ju'ma
测距系统,ce'ju'xi'tong
测量吊杆,ce'liang'diao'gan
测量放线,ce'liang'fang'xian
测量工具,ce'liang'gong'ju
测量雷达,ce'liang'lei'da
测量人,ce'liang'ren
测量日期,ce'liang'ri'qi
测量时温度,ce'liang'shi'wen'du
侧面垂直度,ce'mian'chui'zhi'du
测频,ce'pin
测区代号,ce'qu'dai'hao
测区范围,ce'qu'fan'wei
测试,ce'shi
测试唱片,ce'shi'chang'pian
测试带,ce'shi'dai
测试接收机,ce'shi'jie'shou'ji
侧视雷达,ce'shi'lei'da
测试卡子,ce'shi'qia'zi
测试日期,ce'shi'ri'qi
测速带,ce'su'dai
测图卫星,ce'tu'wei'xing
测线,ce'xian
测线啊,ce'xian'a
测线编号,ce'xian'bian'hao
测向测距系统,ce'xiang'ce'ju'xi'tong
测向系统,ce'xiang'xi'tong
侧向照明,ce'xiang'zhao'ming
测验,ce'yan
侧移,ce'yi
侧音测距,ce'yin'ce'ju
侧胀模量,ce'zhang'mo'liang
侧阻力,ce'zu'li
参差调谐,cen'ci'tiao'xie
岑溪红,cen'xi'hong
层错,ceng'cuo
层高表,ceng'gao'biao
层间梁,ceng'jian'liang
层间水,ceng'jian'shui
层间位移比,ceng'jian'wei'yi'bi
层理,ceng'li
层流电子枪,ceng'liu'dian'zi'qiang
层流电子束,ceng'liu'dian'zi'shu
层铺法,ceng'pu'fa
层序,ceng'xu
差错传播,cha'cuo'chuan'bo
差错扩散,cha'cuo'kuo'san
差动电容器,cha'dong'dian'rong'qi
茶短须螨,cha'duan'xu'man
茶二叉蚜,cha'er'cha'ya
岔河,cha'he
岔河灌区,cha'he'guan'qu
插花,cha'hua
茶花红,cha'hua'hong
差集码,cha'ji'ma
茶角蜡蚧,cha'jiao'la'jie
插接板,cha'jie'ban
插接管,cha'jie'guan
插口,cha'kou
插口接头,cha'kou'jie'tou
叉梁,cha'liang
叉梁拉线,cha'liang'la'xian
茶梅,cha'mei
差频相位延迟,cha'pin'xiang'wei'yan'chi
查清联行未达,cha'qing'lian'hang'wei'da
差热分析,cha're'fen'xi
插入力,cha'ru'li
插入扫描,cha'ru'sao'miao
插入式放电管,cha'ru'shi'fang'dian'guan
插入式振捣器,cha'ru'shi'zhen'dao'qi
插塞,cha'sai
茶梢蛀蛾,cha'shao'zhu'e
茶条槭,cha'tiao'qi
插头,cha'tou
插图,cha'tu
插销,cha'xiao
差异显著平准,cha'yi'xian'zhu'ping'zhun
差异应力,cha'yi'ying'li
查阅室,cha'yue'shi
叉柱造,cha'zhu'zao
叉子圆柏,cha'zi'yuan'bai
插座,cha'zuo
柴多火旺,chai'duo'huo'wang
拆模,chai'mo
拆模板,chai'mu'ban
铲草皮烧火,chan'cao'pi'shao'huo
掺加剂,chan'jia'ji
产量模式,chan'liang'mo'shi
产沙量,chan'sha'liang
缠柱造,chan'zhu'zao
长白忍冬,chang'bai'ren'dong
厂拌,chang'ban
常春油麻藤,chang'chun'you'ma'teng
场地类别,chang'di'lei'bie
场地土,chang'di'tu
厂房,chang'fang
长杆贯入仪,chang'gan'guan'ru'yi
场感应结,chang'gan'ying'jie
长梗郁李,chang'geng'yu'li
常规充电,chang'gui'chong'dian
长弧氙灯,chang'hu'xian'deng
长跨,chang'kua
常立杰,chang'li'jie
常流河,chang'liu'he
场面检测雷达,chang'mian'jian'ce'lei'da
常年河,chang'nian'he
唱片,chang'pian
长期刚度,chang'qi'gang'du
长强,chang'qiang
场强测量仪,chang'qiang'ce'liang'yi
长日照型,chang'ri'zhao'xing
长山核桃,chang'shan'he'tao
长途直拨,chang'tu'zhi'bo
场效晶体管,chang'xiao'jing'ti'guan
长兴组,chang'xing'zu
肠痈,chang'yong
场致发光,chang'zhi'fa'guang
场致发光灯,chang'zhi'fa'guang'deng
常柱小檗,chang'zhu'xiao'bo
超白窿石,chao'bai'long'shi
抄表时间,chao'biao'shi'jian
超采,chao'cai
潮差,chao'cha
超长波通信,chao'chang'bo'tong'xin
超长结构,chao'chang'jie'gou
超导磁体,chao'dao'ci'ti
超导电子学,chao'dao'dian'zi'xue
超导探测器,chao'dao'tan'ce'qi
超低量喷雾机,chao'di'liang'pen'wu'ji
超低频通信,chao'di'pin'tong'xin
超低温保存,chao'di'wen'bao'cun
超覆,chao'fu
潮幅,chao'fu
超高频通信,chao'gao'pin'tong'xin
炒汇族,chao'hui'zu
超级恐龙,chao'ji'kong'long
超级赛豆胧,chao'ji'sai'dou'long
超筋,chao'jin
超筋超限,chao'jin'chao'xian
超筋梁,chao'jin'liang
超快光电子学,chao'kuai'guang'dian'zi'xue
潮流,chao'liu
炒楼花,chao'lou'hua
潮门,chao'men
超前,chao'qian
超前导坑,chao'qian'dao'keng
超前网络,chao'qian'wang'luo
超亲遗传,chao'qin'yi'chuan
超亲优势,chao'qin'you'shi
炒青,chao'qing
超群,chao'qun
超渗雨,chao'shen'yu
超声导盲器,chao'sheng'dao'mang'qi
超视距通信,chao'shi'ju'tong'xin
潮湿试验,chao'shi'shi'yan
潮水波,chao'shui'bo
潮水河,chao'shui'he
潮滩,chao'tan
潮土,chao'tu
超挖,chao'wa
潮汐,chao'xi
潮汐河流,chao'xi'he'liu
朝鲜丁香,chao'xian'ding'xiang
朝鲜结缕草,chao'xian'jie'lv'cao
朝鲜柳,chao'xian'liu
朝鲜山茱萸,chao'xian'shan'zhu'yu
朝鲜鼠李,chao'xian'shu'li
朝鲜越桔,chao'xian'yue'ju
炒星,chao'xing
炒邮,chao'you
超噪比,chao'zao'bi
超主群,chao'zhu'qun
炒族,chao'zu
扯东拉西,che'dong'la'xi
坼架子,che'jia'zi
撤离工作场所,che'li'gong'zuo'chang'suo
车辆运输安全,che'liang'yun'shu'an'quan
沉淀,chen'dian
陈广华,chen'guang'hua
陈海波,chen'hai'bo
陈海洋,chen'hai'yang
沉积盖层,chen'ji'gai'ceng
沉积建造,chen'ji'jian'zao
沉寂室,chen'ji'shi
沉积水,chen'ji'shui
沉积物,chen'ji'wu
沉积相,chen'ji'xiang
沉降,chen'jiang
沉降差,chen'jiang'cha
沉降缝,chen'jiang'feng
陈锦旗,chen'jin'qi
沉埋法,chen'mai'fa
陈年老账,chen'nian'lao'zhang
衬偏效应,chen'pian'xiao'ying
衬砌,chen'qi
陈青来,chen'qing'lai
沉沙池,chen'sha'chi
沉沙凼,chen'sha'dang
陈珊,chen'shan
沉头螺丝,chen'tou'luo'si
沉头木螺栓,chen'tou'mu'luo'shuan
尘土遮天,chen'tu'zhe'tian
陈卫兵,chen'wei'bing
陈习华,chen'xi'hua
沉香红,chen'xiang'hong
陈艳艳,chen'yan'yan
陈玉春,chen'yu'chun
沉冤已白,chen'yuan'yi'bai
陈志永,chen'zhi'yong
沉滓,chen'zi
承插,cheng'cha
承插管,cheng'cha'guan
承插管件,cheng'cha'guan'jian
承插接头,cheng'cha'jie'tou
承扶,cheng'fu
成果报告,cheng'guo'bao'gao
成果汇交时间,cheng'guo'hui'jiao'shi'jian
成果图,cheng'guo'tu
成果质量,cheng'guo'zhi'liang
城建维护费,cheng'jian'wei'hu'fei
承浆,cheng'jiang
承筋,cheng'jin
成金华,cheng'jin'hua
成井,cheng'jing
程控电源,cheng'kong'dian'yuan
程控开关,cheng'kong'kai'guan
程控衰减器,cheng'kong'shuai'jian'qi
程控仪器,cheng'kong'yi'qi
承口,cheng'kou
承灵,cheng'ling
柽柳科,cheng'liu'ke
柽麻,cheng'ma
承满,cheng'man
程懋堃,cheng'mao'kun
橙皮红,cheng'pi'hong
成品,cheng'pin
成品检验,cheng'pin'jian'yan
承泣,cheng'qi
承前续后,cheng'qian'xu'hou
承山,cheng'shan
成生年代,cheng'sheng'nian'dai
城市防洪工程,cheng'shi'fang'hong'gong'cheng
城市供水安全,cheng'shi'gong'shui'an'quan
城市规划测量,cheng'shi'gui'hua'ce'liang
城市化建设,cheng'shi'hua'jian'she
城市水文学,cheng'shi'shui'wen'xue
城市污水,cheng'shi'wu'shui
城市灾害救援,cheng'shi'zai'hai'jiu'yuan
