啊安多哈尔,a'an'duo'ha'er
埃辛诺斯战刃背叛者的左手刃,ai'xin'nuo'si'zhan'ren'bei'pan'zhe'de'zuo'shou'ren
艾卓纳克编网者,ai'zhuo'na'ke'bian'wang'zhe
艾卓纳克巢穴守卫,ai'zhuo'na'ke'chao'xue'shou'wei
艾卓纳克喷酸者,ai'zhuo'na'ke'pen'suan'zhe
艾卓纳克死亡守卫,ai'zhuo'na'ke'si'wang'shou'wei
艾卓纳克勇士,ai'zhuo'na'ke'yong'shi
艾卓纳克争斗者,ai'zhuo'na'ke'zheng'dou'zhe
艾卓纳克掷酸者,ai'zhuo'na'ke'zhi'suan'zhe
艾卓纳克织网者,ai'zhuo'na'ke'zhi'wang'zhe
艾卓纳克作战卫士,ai'zhuo'na'ke'zuo'zhan'wei'shi
艾兹垂恩,ai'zi'chui'en
暗标凯格拉,an'biao'kai'ge'la
安德鲁厄瑞克,an'de'lu'e'rui'ke
安东尼达斯的专注纹章盾,an'dong'ni'da'si'de'zhuan'zhu'wen'zhang'dun
安度罗斯银歌,an'du'luo'si'yin'ge
安度因乌瑞恩国王,an'du'yin'wu'rui'en'guo'wang
安抚心灵,an'fu'xin'ling
安格博达女王,an'ge'bo'da'nv'wang
安格丽达,an'ge'li'da
安格莉丝塔,an'ge'li'si'ta
暗魂收割者,an'hun'shou'ge'zhe
暗箭伤人,an'jian'shang'ren
安静的多恩,an'jing'de'duo'en
安卡娜,an'ka'na
暗猎派兰,an'lie'pai'lan
安娜奇丝特布雷德沃克,an'na'qi'si'te'bu'lei'de'wo'ke
暗器,an'qi
安提尔,an'ti'er
暗袭者娜斯蕾萨,an'xi'zhe'na'si'lei'sa
暗行,an'xing
暗言术灭,an'yan'shu'mie
暗言术恼,an'yan'shu'nao
暗言术痛,an'yan'shu'tong
暗言术紊,an'yan'shu'wen
暗耀梅兹克,an'yao'mei'zi'ke
暗影爆发,an'ying'bao'fa
暗影步,an'ying'bu
暗影冲击,an'ying'chong'ji
暗影的折磨,an'ying'de'zhe'mo
暗影斗篷,an'ying'dou'peng
暗影防护祷言,an'ying'fang'hu'dao'yan
暗影防护结界,an'ying'fang'hu'jie'jie
暗影箭,an'ying'jian
暗影抗性光环,an'ying'kang'xing'guang'huan
暗影烈焰,an'ying'lie'yan
暗影魔,an'ying'mo
暗影牧师艾斯曼塔,an'ying'mu'shi'ai'si'man'ta
暗影仆从谢兰达尔,an'ying'pu'cong'xie'lan'da'er
暗影巧施者丝柯恩,an'ying'qiao'shi'zhe'si'ke'en
暗影深渊,an'ying'shen'yuan
暗影沃登,an'ying'wo'deng
暗影舞者希瓦,an'ying'wu'zhe'xi'wa
暗影形态,an'ying'xing'tai
暗影训谕,an'ying'xun'yu
暗影议会的爪牙,an'ying'yi'hui'de'zhao'ya
暗影之波,an'ying'zhi'bo
暗影之怒,an'ying'zhi'nu
暗影之雨,an'ying'zhi'yu
暗影灼烧,an'ying'zhuo'shao
暗语者的足垫,an'yu'zhe'de'zu'dian
暗之泽尼思,an'zhi'ze'ni'si
暗中等待,an'zhong'deng'dai
奥巴洛恩大王,ao'ba'luo'en'da'wang
奥比利威隆,ao'bi'li'wei'long
傲步者玛甘,ao'bu'zhe'ma'gan
奥尔巴兹血毒,ao'er'ba'zi'xue'du
奥尔多高阶女祭司伊沙娜,ao'er'duo'gao'jie'nv'ji'si'yi'sha'na
奥尔仑德,ao'er'lun'de
奥尔石墙,ao'er'shi'qiang
奥菲利巴洛斯,ao'fei'li'ba'luo'si
奥格瑞玛,ao'ge'rui'ma
奥格瑞玛步兵,ao'ge'rui'ma'bu'bing
奥格瑞玛的奥坎,ao'ge'rui'ma'de'ao'kan
奥格瑞姆之锤,ao'ge'rui'mu'zhi'chui
奥根米尔臂刃,ao'gen'mi'er'bi'ren
奥金顿幽灵之塔,ao'jin'dun'you'ling'zhi'ta
奥金斧,ao'jin'fu
奥金气枪,ao'jin'qi'qiang
奥金幼龙,ao'jin'you'long
奥拉尔德施米尔,ao'la'er'de'shi'mi'er
奥拉夫钢破,ao'la'fu'gang'po
奥里克斯,ao'li'ke'si
奥鲁克星暴,ao'lu'ke'xing'bao
奥妮克希亚,ao'ni'ke'xi'ya
奥妮克希亚皮袋,ao'ni'ke'xi'ya'pi'dai
奥术爆发,ao'shu'bao'fa
奥术冲击,ao'shu'chong'ji
奥术钉刺,ao'shu'ding'ci
奥术飞弹,ao'shu'fei'dan
奥术洪流,ao'shu'hong'liu
奥术禁锢,ao'shu'jin'gu
奥术精华,ao'shu'jing'hua
奥术能量,ao'shu'neng'liang
奥术射击,ao'shu'she'ji
奥术师巴提斯,ao'shu'shi'ba'ti'si
奥术师莱萝妮娅,ao'shu'shi'lai'luo'ni'ya
奥术师雷纳,ao'shu'shi'lei'na
奥术师塞里斯,ao'shu'shi'sai'li'si
奥术体验,ao'shu'ti'yan
奥术训谕,ao'shu'xun'yu
奥术研究,ao'shu'yan'jiu
奥术战略,ao'shu'zhan'lue
奥术障壁,ao'shu'zhang'bi
奥术智慧,ao'shu'zhi'hui
奥特兰克山谷,ao'te'lan'ke'shan'gu
傲蹄威瑞克,ao'ti'wei'rui'ke
巴尔龚德仁魂,ba'er'gong'de'ren'hun
巴卡,ba'ka
巴罗夫的继承人,ba'luo'fu'de'ji'cheng'ren
巴罗夫管家铃,ba'luo'fu'guan'jia'ling
白骨护手,bai'gu'hu'shou
白金迅捷圆盘,bai'jin'xun'jie'yuan'pan
白毛犀牛,bai'mao'xi'niu
班克劳夫特女士,ban'ke'lao'fu'te'nv'shi
斑纹幼龙,ban'wen'you'long
爆爆,bao'bao
报偿,bao'chang
暴风城,bao'feng'cheng
暴风雪,bao'feng'xue
报复,bao'fu
保护祝福,bao'hu'zhu'fu
爆击猎枪,bao'ji'lie'qiang
堡垒卫士的巨剑,bao'lei'wei'shi'de'ju'jian
暴乱盾牌,bao'luan'dun'pai
爆怒的纳乔,bao'nu'de'na'qiao
暴虐的酋长,bao'nue'de'qiu'zhang
爆破专家,bao'po'zhuan'jia
暴起,bao'qi
豹群围攻,bao'qun'wei'gong
保卫哈兰,bao'wei'ha'lan
保卫者斯黛蒂娅,bao'wei'zhe'si'dai'di'ya
暴躁的巴巴加尔诺,bao'zao'de'ba'ba'jia'er'nuo
爆炸烈焰,bao'zha'lie'yan
爆炸射击,bao'zha'she'ji
爆炸陷阱,bao'zha'xian'jing
悲惨,bei'can
背刺,bei'ci
背刺者宾度盖布,bei'ci'zhe'bin'du'gai'bu
北伐军的召唤,bei'fa'jun'de'zhao'huan
北伐军技师斯比帕提克,bei'fa'jun'ji'shi'si'bi'pa'ti'ke
北伐军领主达尔弗斯,bei'fa'jun'ling'zhu'da'er'fu'si
北伐军指挥官恩塔里,bei'fa'jun'zhi'hui'guan'en'ta'li
贝加里斯塔兹的生命之刃,bei'jia'li'si'ta'zi'de'sheng'ming'zhi'ren
被困的公主,bei'kun'de'gong'zhu
贝拉怀尔德,bei'la'huai'er'de
贝纳考格波斯顿,bei'na'kao'ge'bo'si'dun
贝尼瑟德莱格,bei'ni'se'de'lai'ge
被奴役的深渊火魔,bei'nu'yi'de'shen'yuan'huo'mo
背叛,bei'pan
背叛匕首,bei'pan'bi'shou
背叛圣印,bei'pan'sheng'yin
背叛者的黑暗之弓,bei'pan'zhe'de'hei'an'zhi'gong
被狩猎的茵迪娜,bei'shou'lie'de'yin'di'na
贝斯娅,bei'si'ya
贝索拉风羽,bei'suo'la'feng'yu
被锁起来的农夫,bei'suo'qi'lai'de'nong'fu
被缩小的巨人,bei'suo'xiao'de'ju'ren
被祝福的护卫,bei'zhu'fu'de'hu'wei
被诅咒的安达留斯,bei'zu'zhou'de'an'da'liu'si
被诅咒者的紧握,bei'zu'zhou'zhe'de'jin'wo
本源集中,ben'yuan'ji'zhong
笨重的憎恶,ben'zhong'de'zeng'wu
崩坏腕甲,beng'huai'wan'jia
崩溃的平衡,beng'kui'de'ping'heng
彼得欧特蕾特,bi'de'ou'te'lei'te
比尔多斯虚空,bi'er'duo'si'xu'kong
庇护祝福,bi'hu'zhu'fu
逼迫,bi'po
蔽日披风,bi'ri'pi'feng
比提斯,bi'ti'si
必须的牺牲,bi'xu'de'xi'sheng
必要的牺牲,bi'yao'de'xi'sheng
庇佑,bi'you
毕杂兹,bi'za'zi
鞭笞者的种子,bian'chi'zhe'de'zhong'zi
蝙蝠饲养员迈克尔加勒特,bian'fu'si'yang'yuan'mai'ke'er'jia'le'te
辩护手套,bian'hu'shou'tao
辩护者波若万,bian'hu'zhe'bo'ruo'wan
辩护者恩卡鲁斯,bian'hu'zhe'en'ka'lu'si
变形符文,bian'xing'fu'wen
变形术,bian'xing'shu
变形术企鹅,bian'xing'shu'qi'e
飑风图腾,biao'feng'tu'teng
宾布断电,bin'bu'duan'dian
冰雹,bing'bao
冰虫之母,bing'chong'zhi'mu
冰川之刃,bing'chuan'zhi'ren
冰刺长矛,bing'ci'chang'mao
冰冻林地手套,bing'dong'lin'di'shou'tao
冰冻陷阱,bing'dong'xian'jing
冰冻之触,bing'dong'zhi'chu
冰冻之箭,bing'dong'zhi'jian
冰锋衬肩,bing'feng'chen'jian
冰风图腾,bing'feng'tu'teng
冰封之心瓦拉欧斯,bing'feng'zhi'xin'wa'la'ou'si
冰箍锁链护腕,bing'gu'suo'lian'hu'wan
冰火交汇,bing'huo'jiao'hui
冰结,bing'jie
冰冷触摸,bing'leng'chu'mo
冰冷的布拉德福德,bing'leng'de'bu'la'de'fu'de
冰冷的洛蕾拉,bing'leng'de'luo'lei'la
冰冷的心,bing'leng'de'xin
冰冷血脉,bing'leng'xue'mai
冰冷铸锤,bing'leng'zhu'chui
冰枪术,bing'qiang'shu
冰刃斧,bing'ren'fu
冰霜爆发,bing'shuang'bao'fa
冰霜背包,bing'shuang'bei'bao
冰霜波,bing'shuang'bo
冰霜打击,bing'shuang'da'ji
冰霜符文,bing'shuang'fu'wen
冰霜抗性光环,bing'shuang'kang'xing'guang'huan
冰霜浪潮,bing'shuang'lang'chao
冰霜灵气,bing'shuang'ling'qi
冰霜女王辛达苟萨,bing'shuang'nv'wang'xin'da'gou'sa
冰霜骑士,bing'shuang'qi'shi
冰霜使者阿旭纳尔,bing'shuang'shi'zhe'a'xu'na'er
冰霜陷阱,bing'shuang'xian'jing
冰霜新星,bing'shuang'xin'xing
冰霜疫病,bing'shuang'yi'bing
冰霜震击,bing'shuang'zhen'ji
冰霜之路,bing'shuang'zhi'lu
冰霜之桥宝珠,bing'shuang'zhi'qiao'bao'zhu
冰啸之触,bing'xiao'zhi'chu
冰雪之王洛克霍拉,bing'xue'zhi'wang'luo'ke'huo'la
冰锥术,bing'zhui'shu
博得拉克桶爆,bo'de'la'ke'tong'bao
剥夺,bo'duo
剥夺者,bo'duo'zhe
剥夺者玛格努斯,bo'duo'zhe'ma'ge'nu'si
剥夺者彦,bo'duo'zhe'yan
博尔顿,bo'er'dun
波吉地盯,bo'ji'di'ding
博拉克的勇气腰带,bo'la'ke'de'yong'qi'yao'dai
波利斯布罗德,bo'li'si'bu'luo'de
波尼的玫瑰,bo'ni'de'mei'gui
伯瓦尔弗塔根公爵,bo'wa'er'fu'ta'gen'gong'jue
博学的昂科斯,bo'xue'de'ang'ke'si
博学坠饰,bo'xue'zhui'shi
布布拉德尔吉瑟,bu'bu'la'de'er'ji'se
捕风者巴斯拉,bu'feng'zhe'ba'si'la
不羁印记,bu'ji'yin'ji
不洁的温德隆,bu'jie'de'wen'de'long
不倦哨兵的裹腿,bu'juan'shao'bing'de'guo'tui
不可触犯的艾迪逊,bu'ke'chu'fan'de'ai'di'xun
布拉格维风暴酒缸,bu'la'ge'wei'feng'bao'jiu'gang
布拉赫凋星,bu'la'he'diao'xing
布拉克希斯的睡眠法杖,bu'la'ke'xi'si'de'shui'mian'fa'zhang
布朗森蓬髯,bu'lang'sen'peng'ran
布隆温光育,bu'long'wen'guang'yu
布罗德里克朗弗斯,bu'luo'de'li'ke'lang'fu'si
布罗迪恩,bu'luo'di'en
布罗尔熊鬃,bu'luo'er'xiong'zong
部落护符,bu'luo'hu'fu
部落酋长萨尔,bu'luo'qiu'zhang'sa'er
布玛快步,bu'ma'kuai'bu
不灭信仰,bu'mie'xin'yang
不屈的安提克隆,bu'qu'de'an'ti'ke'long
布瑞格,bu'rui'ge
不适当的葬礼,bu'shi'dang'de'zang'li
不受欢迎的访客,bu'shou'huan'ying'de'fang'ke
不死肖恩,bu'si'xiao'en
不稳定灌注,bu'wen'ding'guan'zhu
彩弹,cai'dan
财富在等着你,cai'fu'zai'deng'zhe'ni
残酷角斗士的凤凰之弩,can'ku'jiao'dou'shi'de'feng'huang'zhi'nu
残酷角斗士的巨剑,can'ku'jiao'dou'shi'de'ju'jian
残酷角斗士的猎装,can'ku'jiao'dou'shi'de'lie'zhuang
残酷角斗士的木槌,can'ku'jiao'dou'shi'de'mu'chui
残酷角斗士的外衣,can'ku'jiao'dou'shi'de'wai'yi
残酷角斗士的战甲,can'ku'jiao'dou'shi'de'zhan'jia
残忍,can'ren
藏宝海湾,cang'bao'hai'wan
查理沃尔斯,cha'li'wo'er'si
叉状闪电,cha'zhuang'shan'dian
柴根铁眼,chai'gen'tie'yan
拆毁,chai'hui
拆解者基里克斯,chai'jie'zhe'ji'li'ke'si
忏悔,chan'hui
忏悔者麦雷德,chan'hui'zhe'mai'lei'de
嘲讽,chao'feng
超级猴子球,chao'ji'hou'zi'qiu
超级新星,chao'ji'xin'xing
嘲弄攻击,chao'nong'gong'ji
潮汐冲击,chao'xi'chong'ji
潮汐灌注,chao'xi'guan'zhu
潮汐图腾,chao'xi'tu'teng
潮汐掌握,chao'xi'zhang'wo
撤退,che'tui
沉默的十字军,chen'mo'de'shi'zi'jun
沉默射击,chen'mo'she'ji
沉默者纳莉斯,chen'mo'zhe'na'li'si
沉默之牙,chen'mo'zhi'ya
晨骑者提瑞,chen'qi'zhe'ti'rui
沉睡者巴西斯,chen'shui'zhe'ba'xi'si
沉睡者伊瑟拉,chen'shui'zhe'yi'se'la
沉睡之石,chen'shui'zhi'shi
晨曦猎人莫柯,chen'xi'lie'ren'mo'ke
惩罚,cheng'fa
惩戒长戟,cheng'jie'chang'ji
惩戒光环,cheng'jie'guang'huan
惩戒火炬,cheng'jie'huo'ju
惩戒圣印,cheng'jie'sheng'yin
惩戒者欧梅达斯,cheng'jie'zhe'ou'mei'da'si
乘胜追击,cheng'sheng'zhui'ji
迟钝的迈凯尔,chi'dun'de'mai'kai'er
赤红震荡者,chi'hong'zhen'dang'zhe
斥候科尔戈,chi'hou'ke'er'ge
赤脊山的联络员,chi'ji'shan'de'lian'luo'yuan
持戒者杰奥,chi'jie'zhe'jie'ao
齿轮火花比兹克,chi'lun'huo'hua'bi'zi'ke
炽焰角鹰兽,chi'yan'jiao'ying'shou
崇德祝福,chong'de'zhu'fu
冲动,chong'dong
冲动狂潮,chong'dong'kuang'chao
冲锋,chong'feng
重获新生,chong'huo'xin'sheng
冲击波,chong'ji'bo
冲击束带,chong'ji'shu'dai
冲击陷阱,chong'ji'xian'jing
充能,chong'neng
虫群,chong'qun
冲杀,chong'sha
重生,chong'sheng
虫王塔洛诺克斯,chong'wang'ta'luo'nuo'ke'si
重整旗鼓,chong'zheng'qi'gu
重铸的熔岩挖掘器,chong'zhu'de'rong'yan'wa'jue'qi
重组,chong'zu
仇恨打击,chou'hen'da'ji
处决,chu'jue
除巫草,chu'wu'cao
穿刺,chuan'ci
穿刺射击,chuan'ci'she'ji
穿刺者伯加茨,chuan'ci'zhe'bo'jia'ci
穿刺之箭,chuan'ci'zhi'jian
穿洞毒药,chuan'dong'du'yao
传染,chuan'ran
传染性毒药,chuan'ran'xing'du'yao
传说的英雄,chuan'shuo'de'ying'xiong
传送门,chuan'song'men
传送石,chuan'song'shi
锤火艾扎,chui'huo'ai'zha
槌击,chui'ji
锤炼,chui'lian
纯粹的邪恶,chun'cui'de'xie'e
纯洁圣印,chun'jie'sheng'yin
纯洁者耶德瑞克,chun'jie'zhe'ye'de'rui'ke
刺穿,ci'chuan
刺钉,ci'ding
刺耳怒吼,ci'er'nu'hou
刺骨伊利娅,ci'gu'yi'li'ya
次级治疗术,ci'ji'zhi'liao'shu
刺客腰带,ci'ke'yao'dai
丛林的呼唤,cong'lin'de'hu'huan
丛林之王,cong'lin'zhi'wang
脆化术,cui'hua'shu
崔卡斯,cui'ka'si
崔克谢博尔特克伦克,cui'ke'xie'bo'er'te'ke'lun'ke
催眠之刃,cui'mian'zhi'ren
错乱,cuo'luan
挫志怒吼,cuo'zhi'nu'hou
大德鲁伊莉琳德拉,da'de'lu'yi'li'lin'de'la
大地的生命,da'di'de'sheng'ming
大地灌注,da'di'guan'zhu
大地猎手雷琳,da'di'lie'shou'lei'lin
大地母亲布雷纳,da'di'mu'qin'bu'lei'na
大地母亲的恩赐,da'di'mu'qin'de'en'ci
大地母亲的选民凯恩,da'di'mu'qin'de'xuan'min'kai'en
大地母亲的祝福,da'di'mu'qin'de'zhu'fu
大地守卫库岚,da'di'shou'wei'ku'lan
大地修师亚芬,da'di'xiu'shi'ya'fen
大地与天空,da'di'yu'tian'kong
大地与月亮,da'di'yu'yue'liang
大地之盾,da'di'zhi'dun
大地之冠,da'di'zhi'guan
大地之力图腾,da'di'zhi'li'tu'teng
大地治愈者瓦基,da'di'zhi'yu'zhe'wa'ji
打断思绪,da'duan'si'xu
大法师巴斯图,da'fa'shi'ba'si'tu
大法师迈尔那拉娜,da'fa'shi'mai'er'na'la'na
大法师腰带,da'fa'shi'yao'dai
大工匠梅卡托克,da'gong'jiang'mei'ka'tuo'ke
大坏蛋面具,da'huai'dan'mian'ju
打开计划,da'kai'ji'hua
达库鲁大王,da'ku'lu'da'wang
达拉然避邪纺织店,da'la'ran'bi'xie'fang'zhi'dian
达拉然传说皮甲,da'la'ran'chuan'shuo'pi'jia
达拉然坦克用品店,da'la'ran'tan'ke'yong'pin'dian
大领主达里安莫格莱尼,da'ling'zhu'da'li'an'mo'ge'lai'ni
大领主提里奥弗丁,da'ling'zhu'ti'li'ao'fu'ding
达隆郡的战斗,da'long'jun'de'zhan'dou
达龙魔法激荡,da'long'mo'fa'ji'dang
达洛克碎钢,da'luo'ke'sui'gang
达纳苏斯,da'na'su'si
达纳苏斯哨兵,da'na'su'si'shao'bing
达妮莎静心,da'ni'sha'jing'xin
大墙卢卡魔,da'qiang'lu'ka'mo
大师兽栏,da'shi'shou'lan
大桶克兰波普,da'tong'ke'lan'bo'pu
大卫斯麦瑟,da'wei'si'mai'se
大型科多兽,da'xing'ke'duo'shou
大雪球,da'xue'qiu
大阳卫士瑟西,da'yang'wei'shi'se'xi
大元帅戈登索德,da'yuan'shuai'ge'deng'suo'de
大主教本尼迪塔斯,da'zhu'jiao'ben'ni'di'ta'si
大主教欧纳拉,da'zhu'jiao'ou'na'la
打桩枪,da'zhuang'qiang
戴格姆泰戈,dai'ge'mu'tai'ge
戴施埃尔石拳,dai'shi'ai'er'shi'quan
丹尼尔索沃坦,dan'ni'er'suo'wo'tan
丹扎拉尔徽记,dan'zha'la'er'hui'ji
导魔师梅姆丽,dao'mo'shi'mei'mu'li
盗墓贼莉莎,dao'mu'zei'li'sha
盗取,dao'qu
刀扇,dao'shan
导师的训诫,dao'shi'de'xun'jie
导师加罗,dao'shi'jia'luo
导师凯迪姆,dao'shi'kai'di'mu
德尔戈枯月,de'er'ge'ku'yue
德拉勒,de'la'le
德莱尼的垃圾,de'lai'ni'de'la'ji
德雷克塔尔,de'lei'ke'ta'er
德瑞丁锤手,de'rui'ding'chui'shou
德瑞兹斯提尔斯赖姆,de'rui'zi'si'ti'er'si'lai'mu
德沃纳伯克肖,de'wo'na'bo'ke'xiao
邓迪,deng'di
迪菲亚兄弟会,di'fei'ya'xiong'di'hui
地缚图腾,di'fu'tu'teng
地精火箭发射器,di'jing'huo'jian'fa'she'qi
迪斯科地狱,di'si'ke'di'yu
地穴恶魔,di'xue'e'mo
蒂亚妮坎宁斯,di'ya'ni'kan'ning'si
地狱火,di'yu'huo
地狱熔铸长刀,di'yu'rong'zhu'chang'dao
地狱使者格兰戴尔,di'yu'shi'zhe'ge'lan'dai'er
地狱收割者,di'yu'shou'ge'zhe
地震术,di'zhen'shu
迪兹莫娜,di'zi'mo'na
电花朱毕利,dian'hua'zhu'bi'li
癫狂的奥柏拉,dian'kuang'de'ao'bai'la
电能匕首,dian'neng'bi'shou
典型护盾,dian'xing'hu'dun
雕骨者希蕾娜,diao'gu'zhe'xi'lei'na
凋零怒吼,diao'ling'nu'hou
雕像生成器,diao'xiang'sheng'cheng'qi
冻结,dong'jie
冻结意志,dong'jie'yi'zhi
冬幕欢乐制造器,dong'mu'huan'le'zhi'zao'qi
冬娜卡琳斯特,dong'na'ka'lin'si'te
东瘟疫之地的哨塔,dong'wen'yi'zhi'di'de'shao'ta
动员,dong'yuan
杜格林铁刃,du'ge'lin'tie'ren
督军高图斯,du'jun'gao'tu'si
毒刃勒汉,du'ren'le'han
毒日淖琳,du'ri'nao'lin
毒蛇,du'she
毒蛇钉刺,du'she'ding'ci
毒蛇陷阱,du'she'xian'jing
毒蛇形态,du'she'xing'tai
渎神者崔同,du'shen'zhe'cui'tong
毒水,du'shui
毒蝎钉刺,du'xie'ding'ci
独行者海尔纳,du'xing'zhe'hai'er'na
独行者猛砍托马斯,du'xing'zhe'meng'kan'tuo'ma'si
毒药大师,du'yao'da'shi
断筋,duan'jin
断束,duan'shu
短暂消失,duan'zan'xiao'shi
对抗伊利达雷,dui'kang'yi'li'da'lei
盾击,dun'ji
盾牌反射,dun'pai'fan'she
盾牌格挡,dun'pai'ge'dang
盾牌猛击,dun'pai'meng'ji
盾墙,dun'qiang
多彩披风,duo'cai'pi'feng
多重射击,duo'chong'she'ji
多恩亮溪,duo'en'liang'xi
夺回圣地,duo'hui'sheng'di
夺魂女妖,duo'hun'nv'yao
朵拉德里斯咒火,duo'la'de'li'si'zhou'huo
朵罗斯哮击,duo'luo'si'xiao'ji
堕落熊怪,duo'luo'xiong'guai
堕星,duo'xing
多佐克影手,duo'zuo'ke'ying'shou
恶毒的迪斯维,e'du'de'di'si'wei
恶毒的玛丽娜,e'du'de'ma'li'na
恶毒的司兰迪斯,e'du'de'si'lan'di'si
噩梦乍醒法袍,e'meng'zha'xing'fa'pao
恶魔变身,e'mo'bian'shen
恶魔缝合护腿,e'mo'feng'he'hu'tui
恶魔感召,e'mo'gan'zhao
恶魔护甲,e'mo'hu'jia
恶魔徽记,e'mo'hui'ji
恶魔魂灵普拉格,e'mo'hun'ling'pu'la'ge
恶魔拉瑟莱克,e'mo'la'se'lai'ke
恶魔灵魂石,e'mo'ling'hun'shi
恶魔之击,e'mo'zhi'ji
恶魔之名,e'mo'zhi'ming
恶性毒药,e'xing'du'yao
恶性循环,e'xing'xun'huan
恶意,e'yi
厄运使者雷达克,e'yun'shi'zhe'lei'da'ke
厄运守卫,e'yun'shou'wei
厄运诅咒,e'yun'zu'zhou
恩赐之锤,en'ci'zhi'chui
法击兜帽,fa'ji'dou'mao
法兰德影涌,fa'lan'de'ying'yong
法力爆炸,fa'li'bao'zha
法力翡翠,fa'li'fei'cui
法力红宝石,fa'li'hong'bao'shi
法力汲取,fa'li'ji'qu
法力玛瑙,fa'li'ma'nao
法力燃烧,fa'li'ran'shao
法力蚀刻长裤,fa'li'shi'ke'chang'ku
法力蚀刻肩甲,fa'li'shi'ke'jian'jia
法力之泉图腾,fa'li'zhi'quan'tu'teng
法力转移,fa'li'zhuan'yi
法力钻石,fa'li'zuan'shi
发明家的聚焦剑,fa'ming'jia'de'ju'jiao'jian
法师的会见,fa'shi'de'hui'jian
法师护甲,fa'shi'hu'jia
法师颅骨,fa'shi'lu'gu
法塔菲,fa'ta'fei
反冲,fan'chong
梵崔治,fan'cui'zhi
范达尔雷矛,fan'da'er'lei'mao
返回安加萨,fan'hui'an'jia'sa
反魔法护罩,fan'mo'fa'hu'zhao
梵诺拉月击,fan'nuo'la'yue'ji
反射拳刃,fan'she'quan'ren
繁盛,fan'sheng
翻腾迷雾之靴,fan'teng'mi'wu'zhi'xue
凡欲,fan'yu
妨碍,fang'ai
防护冰霜结界,fang'hu'bing'shuang'jie'jie
防卫,fang'wei
防御祝福,fang'yu'zhu'fu
防御姿态,fang'yu'zi'tai
放逐者菲伦德雷,fang'zhu'zhe'fei'lun'de'lei
翡翠护树者,fei'cui'hu'shu'zhe
翡翠漫游者,fei'cui'man'you'zhe
翡翠喷酸者,fei'cui'pen'suan'zhe
翡翠上尉,fei'cui'shang'wei
翡翠生命守卫者,fei'cui'sheng'ming'shou'wei'zhe
翡翠士兵,fei'cui'shi'bing
翡翠使者,fei'cui'shi'zhe
费尔安德斯暮落,fei'er'an'de'si'mu'luo
