啊擦擦,a'ca'ca
到西宁,dao'xi'ning
到西宁了,dao'xi'ning'le
倒闲话,dao'xian'hua
德林哈,de'lin'ha
德令哈,de'ling'ha
德令哈路,de'ling'ha'lu
德令哈市,de'ling'ha'shi
的这个号码,de'zhe'ge'hao'ma
等一挂,deng'yi'gua
电力小区,dian'li'xiao'qu
东关大街,dong'guan'da'jie
东稍门,dong'shao'men
冻死俩,dong'si'lia
东台小区,dong'tai'xiao'qu
都兰县,du'lan'xian
对摘,dui'zhai
对着没,dui'zhe'mei
多巴,duo'ba
多巴镇,duo'ba'zhen
多杰,duo'jie
多死俩,duo'si'lia
二十里铺,er'shi'li'pu
发给个,fa'gei'ge
砝码,fa'ma
乏死了,fa'si'le
法院街,fa'yuan'jie
饭吃上,fan'chi'shang
饭馆里,fan'guan'li
房屋建筑物,fang'wu'jian'zhu'wu
疯哈,feng'ha
妇幼用品,fu'you'yong'pin
服装鞋帽,fu'zhuang'xie'mao
尕爸,ga'ba
尕娃,ga'wa
尕媳妇,ga'xi'fu
尕小伙,ga'xiao'huo
尕心疼,ga'xin'teng
尕丫头,ga'ya'tou
尕猪娃,ga'zhu'wa
尕庄,ga'zhuang
干办,gan'ban
甘德,gan'de
甘沟,gan'gou
甘河,gan'he
甘河滩,gan'he'tan
干嘛俩,gan'ma'lia
干嘛去俩,gan'ma'qu'lia
干嘛摘,gan'ma'zhai
干嘛这,gan'ma'zhe
干撒家,gan'sa'jia
干撒俩,gan'sa'lia
干撒摘,gan'sa'zhai
干撒着,gan'sa'zhe
干散,gan'san
干啥嗲,gan'sha'dia
干啥家,gan'sha'jia
干啥俩,gan'sha'lia
干啥着,gan'sha'zhe
干头,gan'tou
刚察,gang'cha
刚察县,gang'cha'xian
高心所,gao'xin'suo
格尔木,ge'er'mu
格尔木的,ge'er'mu'de
格尔木了,ge'er'mu'le
格尔木市,ge'er'mu'shi
给掉,gei'diao
给咋,gei'za
给咋了,gei'za'le
梗皮,geng'pi
共和路,gong'he'lu
共和南路,gong'he'nan'lu
共和县,gong'he'xian
共和镇,gong'he'zhen
够精彩了,gou'jing'cai'le
沟毛,gou'mao
钩子买,gou'zi'mai
古城台,gu'cheng'tai
姑舅,gu'jiu
古林房,gu'lin'fang
瓜丫头,gua'ya'tou
怪客,guai'ke
贵德,gui'de
贵德县,gui'de'xian
贵南县,gui'nan'xian
国际村,guo'ji'cun
过来俩,guo'lai'lia
果洛,guo'luo
果洛路,guo'luo'lu
果洛州,guo'luo'zhou
锅庄,guo'zhuang
哈尔盖,ha'er'gai
海北,hai'bei
海北州,hai'bei'zhou
海东,hai'dong
海东地区,hai'dong'di'qu
海湖大道,hai'hu'da'dao
海湖路,hai'hu'lu
海湖桥,hai'hu'qiao
海湖新区,hai'hu'xin'qu
海湖星城,hai'hu'xing'cheng
还就我一个人,hai'jiu'wo'yi'ge'ren
还没俩,hai'mei'lia
海南州,hai'nan'zhou
害怕俩,hai'pa'lia
海石湾,hai'shi'wan
海西,hai'xi
海西龙港,hai'xi'long'gang
海西路,hai'xi'lu
海西州,hai'xi'zhou
海晏路,hai'yan'lu
海晏县,hai'yan'xian
还在西宁,hai'zai'xi'ning
还这么的,hai'zhe'me'de
好好吃上,hao'hao'chi'shang
好好看看哈,hao'hao'kan'kan'ha
好好说撒,hao'hao'shuo'sa
好看着,hao'kan'zhe
蒿瑞斯,hao'rui'si
好摘,hao'zhai
好着啊,hao'zhe'a
好着呗,hao'zhe'bei
好着没,hao'zhe'mei
好着撒,hao'zhe'sa
好着啥,hao'zhe'sha
贺房,he'fang
喝酒这,he'jiu'zhe
河南县,he'nan'xian
和平乡,he'ping'xiang
黑饭,hei'fan
黑枸杞,hei'gou'qi
黑兰州,hei'lan'zhou
黑马河,hei'ma'he
黑泉,hei'quan
黑天半夜,hei'tian'ban'ye
恒晨,heng'chen
红十字医院,hong'shi'zi'yi'yuan
侯忠武,hou'zhong'wu
葫芦头,hu'lu'tou
虎皮辣子,hu'pi'la'zi
虎台,hu'tai
虎台中学,hu'tai'zhong'xue
互助,hu'zhu
互助北山,hu'zhu'bei'shan
互助的,hu'zhu'de
互助县,hu'zhu'xian
互助巷,hu'zhu'xiang
化隆,hua'long
化隆县,hua'long'xian
花土沟,hua'tu'gou
花园南街,hua'yuan'nan'jie
环湖赛,huan'hu'sai
黄本,huang'ben
湟川,huang'chuan
湟川中学,huang'chuan'zhong'xue
湟二,huang'er
湟光,huang'guang
黄河电力,huang'he'dian'li
黄河水电,huang'he'shui'dian
黄家寨,huang'jia'zhai
黄南,huang'nan
黄南州,huang'nan'zhou
湟水,huang'shui
湟水河,huang'shui'he
湟一,huang'yi
湟源,huang'yuan
湟源县,huang'yuan'xian
湟中,huang'zhong
湟中路,huang'zhong'lu
湟中县,huang'zhong'xian
惠客家,hui'ke'jia
回来俩,hui'lai'lia
回青海,hui'qing'hai
回色兰,hui'se'lan
回西宁,hui'xi'ning
回西宁了,hui'xi'ning'le
火烧沟,huo'shao'gou
家把,jia'ba
家把我,jia'ba'wo
钾肥厂,jia'fei'chang
家还,jia'hai
家里回来了,jia'li'hui'lai'le
家里俩,jia'li'lia
家里坐着,jia'li'zuo'zhe
嘉荣华,jia'rong'hua
家说,jia'shuo
家说的,jia'shuo'de
家说着,jia'shuo'zhe
贾小庄,jia'xiao'zhuang
建材巷,jian'cai'xiang
建成年月,jian'cheng'nian'yue
尖措,jian'cuo
见了没,jian'le'mei
建设巷,jian'she'xiang
尖扎县,jian'zha'xian
蒋芸,jiang'yun
交叉处,jiao'cha'chu
搅沫沫,jiao'mo'mo
交通巷,jiao'tong'xiang
交通医院,jiao'tong'yi'yuan
结古镇,jie'gu'zhen
金佰川,jin'bai'chuan
金币网,jin'bi'wang
晋贵,jin'gui
晋贵减积分,jin'gui'jian'ji'fen
金银滩,jin'yin'tan
净损失,jing'sun'shi
景岳公寓,jing'yue'gong'yu
酒啦啦,jiu'la'la
就是俩,jiu'shi'lia
就是外,jiu'shi'wai
就睡俩,jiu'shui'lia
就说在路上,jiu'shuo'zai'lu'shang
据撒俩,ju'sa'lia
据撒着,ju'sa'zhe
君悦雅居,jun'yue'ya'ju
卡丝莱丹,ka'si'lai'dan
开会着,kai'hui'zhe
开斋,kai'zhai
开斋了,kai'zhai'le
坎布拉,kan'bu'la
看电视这,kan'dian'shi'zhe
看个去,kan'ge'qu
看给个,kan'gei'ge
看一挂,kan'yi'gua
可爱呗,ke'ai'bei
可百可,ke'bai'ke
可可西里,ke'ke'xi'li
可怜呗,ke'lian'bei
可怜着,ke'lian'zhe
瞌睡了没,ke'shui'le'mei
瞌睡着,ke'shui'zhe
可以俩,ke'yi'lia
可以摘,ke'yi'zhai
可以这,ke'yi'zhe
口福街,kou'fu'jie
口换,kou'huan
扣皮,kou'pi
矿产资源信息,kuang'chan'zi'yuan'xin'xi
矿业投资,kuang'ye'tou'zi
昆仑东路,kun'lun'dong'lu
昆仑路,kun'lun'lu
昆仑桥,kun'lun'qiao
昆仑人才网,kun'lun'ren'cai'wang
昆仑玉,kun'lun'yu
昆院,kun'yuan
拉西瓦,la'xi'wa
拉展,la'zhan
来不哈,lai'bu'ha
来青海,lai'qing'hai
来西宁,lai'xi'ning
烂给,lan'gei
拦隆口,lan'long'kou
拦隆口镇,lan'long'kou'zhen
兰州,lan'zhou
老阿奶,lao'a'nai
老爷山,lao'ye'shan
乐都,le'du
乐都路,le'du'lu
乐都县,le'du'xian
乐家湾,le'jia'wan
乐途宾馆,le'tu'bin'guan
冷湖,leng'hu
冷湖路,leng'hu'lu
厉害呗,li'hai'bei
李家山,li'jia'shan
李家峡,li'jia'xia
礼让街,li'rang'jie
李胜军,li'sheng'jun
离西宁,li'xi'ning
李学海,li'xue'hai
俩说,lia'shuo
脸不要,lian'bu'yao
令哈,ling'ha
刘家寨,liu'jia'zhai
刘力强,liu'li'qiang
六一桥,liu'yi'qiao
龙羊峡,long'yang'xia
路段内,lu'duan'nei
卢桂琴,lu'gui'qin
鲁沙尔,lu'sha'er
罗加,luo'jia
马步芳,ma'bu'fang
玛多,ma'duo
麻烦个,ma'fan'ge
麻烦着,ma'fan'zhe
马坊,ma'fang
骂给,ma'gei
马海军,ma'hai'jun
妈妈憋下去,ma'ma'bie'xia'qu
玛沁县,ma'qin'xian
骂死俩,ma'si'lia
马秀兰,ma'xiu'lan
马秀梅,ma'xiu'mei
马秀英,ma'xiu'ying
蚂蚁沟,ma'yi'gou
马玉兰,ma'yu'lan
马玉梅,ma'yu'mei
买上个,mai'shang'ge
买上了没,mai'shang'le'mei
忙啥着,mang'sha'zhe
茫崖,mang'ya
忙摘,mang'zhai
毛吧,mao'ba
毛呗,mao'bei
毛家寨,mao'jia'zhai
毛胜寺,mao'sheng'si
毛心,mao'xin
毛知道,mao'zhi'dao
没啊们,mei'a'men
没呗,mei'bei
没吃住,mei'chi'zhu
每次你就,mei'ci'ni'jiu
没对着,mei'dui'zhe
没干头,mei'gan'tou
没好着,mei'hao'zhe
没俩,mei'lia
没说为啥,mei'shuo'wei'sha
没玩着,mei'wan'zhe
没心吃,mei'xin'chi
没心看,mei'xin'kan
没心去,mei'xin'qu
没心说,mei'xin'shuo
没心玩,mei'xin'wan
没心写,mei'xin'xie
没有人懂我,mei'you'ren'dong'wo
没知道,mei'zhi'dao
门面楼,men'mian'lou
门源,men'yuan
门源路,men'yuan'lu
门源县,men'yuan'xian
孟达天池,meng'da'tian'chi
米头,mi'tou
面片,mian'pian
面熟熟,mian'shu'shu
民和,min'he
民和路,min'he'lu
民和县,min'he'xian
敏文秀,min'wen'xiu
民主街,min'zhu'jie
鸣翠柳,ming'cui'liu
明天你来接我,ming'tian'ni'lai'jie'wo
莫家街,mo'jia'jie
木里,mu'li
那阿门,na'a'men
那不着,na'bu'zhe
那个丫头,na'ge'ya'tou
那好白,na'hao'bai
那好呗,na'hao'bei
那好着,na'hao'zhe
那快写,na'kuai'xie
那美白,na'mei'bai
那美呗,na'mei'bei
那没事干,na'mei'shi'gan
那你以为来,na'ni'yi'wei'lai
那你指的,na'ni'zhi'de
那睡去,na'shui'qu
那算给,na'suan'gei
那我和姐姐,na'wo'he'jie'jie
那我俩,na'wo'lia
那也好着,na'ye'hao'zhe
那咋办俩,na'za'ban'lia
那再,na'zai
那在就,na'zai'jiu
南川东路,nan'chuan'dong'lu
南川河,nan'chuan'he
南川西路,nan'chuan'xi'lu
南佛山,nan'fo'shan
南关街,nan'guan'jie
南关街社区,nan'guan'jie'she'qu
南卡才让,nan'ka'cai'rang
南门峡,nan'men'xia
南绕城,nan'rao'cheng
南山公园,nan'shan'gong'yuan
南山路,nan'shan'lu
南滩,nan'tan
囊谦,nang'qian
能准时到,neng'zhun'shi'dao
你阿姐,ni'a'jie
你阿门,ni'a'men
你不睡哇,ni'bu'shui'wa
你不知道哇,ni'bu'zhi'dao'wa
你歹,ni'dai
你发嘛,ni'fa'ma
你干嘛摘,ni'gan'ma'zhai
你干嘛着,ni'gan'ma'zhe
你干撒着,ni'gan'sa'zhe
你干啥嗲,ni'gan'sha'dia
你干啥着,ni'gan'sha'zhe
你还行不行了,ni'hai'xing'bu'xing'le
你好那些,ni'hao'na'xie
你好着没,ni'hao'zhe'mei
你好着撒,ni'hao'zhe'sa
你见了没,ni'jian'le'mei
你就实话,ni'jiu'shi'hua
你就这么的,ni'jiu'zhe'me'de
你句撒,ni'ju'sa
你来我上班的,ni'lai'wo'shang'ban'de
你来西宁,ni'lai'xi'ning
逆路,ni'lu
你妈皮,ni'ma'pi
你人不成,ni'ren'bu'cheng
你实话,ni'shi'hua
你是回族,ni'shi'hui'zu
你我哈,ni'wo'ha
你西宁,ni'xi'ning
你一老,ni'yi'lao
你再出,ni'zai'chu
你在你的房子,ni'zai'ni'de'fang'zi
你在西宁,ni'zai'xi'ning
你在西宁吗,ni'zai'xi'ning'ma
你作业写完了没,ni'zuo'ye'xie'wan'le'mei
年钱,nian'qian
酿皮,niang'pi
宁大路,ning'da'lu
宁隆,ning'long
宁食,ning'shi
宁食佳苑,ning'shi'jia'yuan
农牧厅,nong'mu'ting
诺木洪,nuo'mu'hong
盘道,pan'dao
炮弹娃,pao'dan'wa
抛烦,pao'fan
彭家寨,peng'jia'zhai
皮黄,pi'huang
皮犟,pi'jiang
屁脸,pi'lian
皮悄悄,pi'qiao'qiao
皮赞,pi'zan
片穿,pian'chuan
平安县,ping'an'xian
平安镇,ping'an'zhen
铺子里,pu'zi'li
起来这,qi'lai'zhe
祁连,qi'lian
祁连路,qi'lian'lu
祁连县,qi'lian'xian
麒麟湾,qi'lin'wan
气象巷,qi'xiang'xiang
七一路,qi'yi'lu
乾宫,qian'gong
炝锅鱼,qiang'guo'yu
强卫,qiang'wei
桥电,qiao'dian
桥头镇,qiao'tou'zhen
青百,qing'bai
青海,qing'hai
青海百货,qing'hai'bai'huo
青海宾馆,qing'hai'bin'guan
青海大学,qing'hai'da'xue
青海大学医学院,qing'hai'da'xue'yi'xue'yuan
青海的,qing'hai'de
青海电大,qing'hai'dian'da
青海电视台,qing'hai'dian'shi'tai
青海电信,qing'hai'dian'xin
青海方言,qing'hai'fang'yan
青海分公司,qing'hai'fen'gong'si
青海湖,qing'hai'hu
青海话,qing'hai'hua
青海花儿,qing'hai'hua'er
青海剧场,qing'hai'ju'chang
青海了,qing'hai'le
青海民族,qing'hai'min'zu
青海民族大学,qing'hai'min'zu'da'xue
青海呢,qing'hai'ne
青海人,qing'hai'ren
青海人事,qing'hai'ren'shi
青海人事网,qing'hai'ren'shi'wang
青海日报,qing'hai'ri'bao
青海省,qing'hai'sheng
青海省委,qing'hai'sheng'wei
青海省卫生厅,qing'hai'sheng'wei'sheng'ting
青海省西宁市,qing'hai'sheng'xi'ning'shi
青海师大,qing'hai'shi'da
青海师范,qing'hai'shi'fan
青海师范大学,qing'hai'shi'fan'da'xue
青海西宁,qing'hai'xi'ning
青海移动,qing'hai'yi'dong
青海银行,qing'hai'yin'hang
青稞酒,qing'ke'jiu
青年巷,qing'nian'xiang
青洽会,qing'qia'hui
青石嘴,qing'shi'zui
青藏,qing'zang
青藏花园,qing'zang'hua'yuan
青藏铁路,qing'zang'tie'lu
青藏铁路公司,qing'zang'tie'lu'gong'si
求多,qiu'duo
求多啊,qiu'duo'a
求多了,qiu'duo'le
求多俩,qiu'duo'lia
求多死,qiu'duo'si
球多死了,qiu'duo'si'le
求多着,qiu'duo'zhe
求儿,qiu'er
去格尔木,qu'ge'er'mu
去贵德,qu'gui'de
去互助,qu'hu'zhu
曲拉款,qu'la'kuan
去俩,qu'lia
去青海湖,qu'qing'hai'hu
去西宁,qu'xi'ning
去找个人吧,qu'zhao'ge'ren'ba
群科,qun'ke
热贡,re'gong
人不成,ren'bu'cheng
忍哈,ren'ha
人民公园,ren'min'gong'yuan
人民街,ren'min'jie
日皮,ri'pi
日月山,ri'yue'shan
撒拉族,sa'la'zu
撒没,sa'mei
撒呀,sa'ya
赛俩目,sai'lia'mu
三江源,san'jiang'yuan
三角花园,san'jiao'hua'yuan
桑杰,sang'jie
色兰,se'lan
森科,sen'ke
森林雨,sen'lin'yu
沙岛,sha'dao
啥俩,sha'lia
傻皮,sha'pi
啥着,sha'zhe
上课这,shang'ke'zhe
上来俩,shang'lai'lia
上面一点点,shang'mian'yi'dian'dian
上通宵走,shang'tong'xiao'zou
上五庄,shang'wu'zhuang
上西宁,shang'xi'ning
上新庄,shang'xin'zhuang
商业巷,shang'ye'xiang
上着没,shang'zhe'mei
烧鹅仔,shao'e'zai
社火,she'huo
沈家寨,shen'jia'zhai
省卡,sheng'ka
胜利路,sheng'li'lu
生气了哇,sheng'qi'le'wa
生物园,sheng'wu'yuan
生物园区,sheng'wu'yuan'qu
省医院,sheng'yi'yuan
屎憋,shi'bie
实话哇,shi'hua'wa
市卡,shi'ka
是哪个地方,shi'na'ge'di'fang
石坡街,shi'po'jie
师晓斌,shi'xiao'bin
使用期,shi'yong'qi
舒服呗,shu'fu'bei
数码控,shu'ma'kong
爽呗,shuang'bei
水电四局,shui'dian'si'ju
睡觉俩,shui'jiao'lia
水井巷,shui'jing'xiang
睡俩,shui'lia
税企通,shui'qi'tong
睡去俩,shui'qu'lia
水峡,shui'xia
说给的,shuo'gei'de
说给个,shuo'gei'ge
说给了,shuo'gei'le
说俩,shuo'lia
说啥了没,shuo'sha'le'mei
说摘,shuo'zhai
死妈妈,si'ma'ma
肆拾玖,si'shi'jiu
寺寨乡,si'zhai'xiang
酥油花,su'you'hua
算给,suan'gei
随回,sui'hui
梭边鱼,suo'bian'yu
塔尔寺,ta'er'si
他又不问,ta'you'bu'wen
泰和园,tai'he'yuan
泰宁花园,tai'ning'hua'yuan
躺哈了,tang'ha'le
唐璜,tang'huang
躺摘,tang'zhai
陶家寨,tao'jia'zhai
田家寨,tian'jia'zhai
天峻,tian'jun
天峻桥,tian'jun'qiao
天峻县,tian'jun'xian
天佑德,tian'you'de
同德县,tong'de'xian
同仁路,tong'ren'lu
同仁县,tong'ren'xian
头多,tou'duo
土产杂品,tu'chan'za'pin
土火锅,tu'huo'guo
团结桥,tuan'jie'qiao
托靠,tuo'kao
托素湖,tuo'su'hu
托素湖路,tuo'su'hu'lu
沱沱河,tuo'tuo'he
哇不清,wa'bu'qing
外形你,wai'xing'ni
歪猪蹄,wai'zhu'ti
万佳家居,wan'jia'jia'ju
玩去俩,wan'qu'lia
王府花园,wang'fu'hua'yuan
王家庄,wang'jia'zhuang
王先友,wang'xian'you
微波巷,wei'bo'xiang
未到保养里程,wei'dao'bao'yang'li'cheng
薇迷,wei'mi
为啥这,wei'sha'zhe
威生源,wei'sheng'yuan
未提折旧,wei'ti'zhe'jiu
威远镇,wei'yuan'zhen
文化公园,wen'hua'gong'yuan
文庙街,wen'miao'jie
问上了,wen'shang'le
问一挂,wen'yi'gua
我阿门,wo'a'men
我才见,wo'cai'jian
我吃不住,wo'chi'bu'zhu
我的笑容变了,wo'de'xiao'rong'bian'le
我刚建,wo'gang'jian
我给他打啥,wo'gei'ta'da'sha
我回家里啊,wo'hui'jia'li'a
我瞌睡着,wo'ke'shui'zhe
我俩聊,wo'lia'liao
我没去问,wo'mei'qu'wen
我没知道,wo'mei'zhi'dao
我们班头,wo'men'ban'tou
我们好好爱,wo'men'hao'hao'ai
我你哈,wo'ni'ha
我青海,wo'qing'hai
我球多,wo'qiu'duo
我去星火,wo'qu'xing'huo
我上班这,wo'shang'ban'zhe
我睡俩,wo'shui'lia
我说给了,wo'shuo'gei'le
我晚上休息,wo'wan'shang'xiu'xi
我西宁,wo'xi'ning
我羞俩,wo'xiu'lia
我用姐姐,wo'yong'jie'jie
我在不去了,wo'zai'bu'qu'le
我在格尔木,wo'zai'ge'er'mu
我在青海,wo'zai'qing'hai
我再说啊,wo'zai'shuo'a
我在西宁,wo'zai'xi'ning
我在星火,wo'zai'xing'huo
我在一名,wo'zai'yi'ming
我这半天,wo'zhe'ban'tian
我知道这,wo'zhi'dao'zhe
五岔路口,wu'cha'lu'kou
武警总队,wu'jing'zong'dui
乌兰县,wu'lan'xian
五四大街,wu'si'da'jie
五四西路,wu'si'xi'lu
五一桥,wu'yi'qiao
西巴拉,xi'ba'la
西部矿业,xi'bu'kuang'ye
西川南路,xi'chuan'nan'lu
系多年,xi'duo'nian
西钢,xi'gang
洗给,xi'gei
西关大街,xi'guan'da'jie
西关街,xi'guan'jie
西海都市报,xi'hai'du'shi'bao
西海镇,xi'hai'zhen
西宁,xi'ning
西宁啊,xi'ning'a
西宁吧,xi'ning'ba
西宁办,xi'ning'ban
西宁宾馆,xi'ning'bin'guan
西宁大厦,xi'ning'da'sha
西宁到,xi'ning'dao
西宁的,xi'ning'de
西宁电视台,xi'ning'dian'shi'tai
西宁了,xi'ning'le
西宁俩,xi'ning'lia
西宁吗,xi'ning'ma
西宁呢,xi'ning'ne
西宁哦,xi'ning'o
西宁人,xi'ning'ren
西宁市,xi'ning'shi
西宁天气,xi'ning'tian'qi
西宁晚报,xi'ning'wan'bao
西宁五中,xi'ning'wu'zhong
西宁西,xi'ning'xi
西宁站,xi'ning'zhan
西山一巷,xi'shan'yi'xiang
西台,xi'tai
锡铁山,xi'tie'shan
西杏园,xi'xing'yuan
夏都,xia'du
夏都大道,xia'du'da'dao
夏都大街,xia'du'da'jie
夏都家园,xia'du'jia'yuan
峡口,xia'kou
下来俩,xia'lai'lia
峡门,xia'men
吓死额外呢,xia'si'e'wai'ne
下西宁,xia'xi'ning
下雨着,xia'yu'zhe
先别出去,xian'bie'chu'qu
闲哈,xian'ha
闲了吗,xian'le'ma
闲了喧,xian'le'xuan
现在就上来了,xian'zai'jiu'shang'lai'le
闲着没,xian'zhe'mei
香日德,xiang'ri'de
小桥,xiao'qiao
小桥大街,xiao'qiao'da'jie
笑死俩,xiao'si'lia
小峡,xiao'xia
小冶,xiao'ye
小圆门,xiao'yuan'men
斜沟,xie'gou
新绿洲,xin'lv'zhou
新宁广场,xin'ning'guang'chang
新宁路,xin'ning'lu
新千,xin'qian
心情好呗,xin'qing'hao'bei
心疼呗,xin'teng'bei
心疼着,xin'teng'zhe
鑫业,xin'ye
幸福呗,xing'fu'bei
兴海,xing'hai
兴海路,xing'hai'lu
兴海县,xing'hai'xian
行你的,xing'ni'de
行驶里程,xing'shi'li'cheng
行驶状况良好,xing'shi'zhuang'kuang'liang'hao
行委,xing'wei
喧个,xuan'ge
喧会,xuan'hui
喧一会,xuan'yi'hui
循化,xun'hua
循化县,xun'hua'xian
盐湖,yan'hu
盐湖集团,yan'hu'ji'tuan
盐湖巷,yan'hu'xiang
盐庄,yan'zhuang
杨沟湾,yang'gou'wan
阳光小区,yang'guang'xiao'qu
杨家巷,yang'jia'xiang
杨家寨,yang'jia'zhai
杨家庄,yang'jia'zhuang
杨永生,yang'yong'sheng
药吃上,yao'chi'shang
要俩,yao'lia
鹞子沟,yao'zi'gou
也好着,ye'hao'zhe
也在西宁,ye'zai'xi'ning
已不存在,yi'bu'cun'zai
义东,yi'dong
伊尔顿,yi'er'dun
一个丫头,yi'ge'ya'tou
一挂,yi'gua
益健,yi'jian
意见房地产,yi'jian'fang'di'chan
壹仟万元,yi'qian'wan'yuan
一私,yi'si
意思好,yi'si'hao
屹源,yi'yuan
饮马街,yin'ma'jie
有俩,you'lia
余额为,yu'e'wei
鱼卡,yu'ka
玉树,yu'shu
玉树县,yu'shu'xian
玉树州,yu'shu'zhou
园丁园,yuan'ding'yuan
原子城,yuan'zi'cheng
悦宾楼,yue'bin'lou
韵家口,yun'jia'kou
咋办俩,za'ban'lia
杂多,za'duo
咋了找,za'le'zhao
咋了这,za'le'zhe
咋了周,za'le'zhou
再别,zai'bie
在别管,zai'bie'guan
在别来,zai'bie'lai
再别了,zai'bie'le
在别去,zai'bie'qu
在别说,zai'bie'shuo
在别说了,zai'bie'shuo'le
在别玩,zai'bie'wan
在别玩了,zai'bie'wan'le
在别问,zai'bie'wen
在别想,zai'bie'xiang
在别想了,zai'bie'xiang'le
在不吃了,zai'bu'chi'le
在不管了,zai'bu'guan'le
在不好意思,zai'bu'hao'yi'si
在不来了,zai'bu'lai'le
在不聊了,zai'bu'liao'le
在不去了,zai'bu'qu'le
在不说了,zai'bu'shuo'le
在不用了,zai'bu'yong'le
在不知道,zai'bu'zhi'dao
在城南,zai'cheng'nan
在大通,zai'da'tong
在格尔木,zai'ge'er'mu
再好了,zai'hao'le
在互助,zai'hu'zhu
再就,zai'jiu
在乐都,zai'le'du
在路上俩,zai'lu'shang'lia
在没办法,zai'mei'ban'fa
在没去,zai'mei'qu
在没事,zai'mei'shi
在哪俩,zai'na'lia
在你就,zai'ni'jiu
在你看,zai'ni'kan
在平安,zai'ping'an
在青海,zai'qing'hai
再说撒俩,zai'shuo'sa'lia
在算了,zai'suan'le
在我也,zai'wo'ye
在我也不知道,zai'wo'ye'bu'zhi'dao
在西宁,zai'xi'ning
在西宁吗,zai'xi'ning'ma
在小桥,zai'xiao'qiao
在行了,zai'xing'le
在玉树,zai'yu'shu
在咋办,zai'za'ban
藏歌,zang'ge
藏民,zang'min
藏医院,zang'yi'yuan
早赶紧,zao'gan'jin
早滚,zao'gun
早没事,zao'mei'shi
早你看,zao'ni'kan
早日撒,zao'ri'sa
早算了,zao'suan'le
泽库,ze'ku
泽库县,ze'ku'xian
扎西,zha'xi
摘没,zhai'mei
摘哇,zhai'wa
站大脚,zhan'da'jiao
张生德,zhang'sheng'de
找给个,zhao'gei'ge
朝阳东路,zhao'yang'dong'lu
朝阳西路,zhao'yang'xi'lu
这么的事,zhe'me'de'shi
这么一直,zhe'me'yi'zhi
这一挂,zhe'yi'gua
振源,zhen'yuan
知道俩,zhi'dao'lia
知道着,zhi'dao'zhe
