安集海河组,an'ji'hai'he'zu
胶结类型,jiao'jie'lei'xing
浸泡时间,jin'pao'shi'jian
近平衡,jin'ping'heng
井壁失稳问题,jing'bi'shi'wen'wen'ti
井壁稳定,jing'bi'wen'ding
井壁稳定性,jing'bi'wen'ding'xing
井径扩大,jing'jing'kuo'da
静切力,jing'qie'li
井深,jing'shen
井身结构,jing'shen'jie'gou
井数,jing'shu
井眼,jing'yan
韭菜园,jiu'cai'yuan
聚合物大分子,ju'he'wu'da'fen'zi
聚合物中小分子,ju'he'wu'zhong'xiao'fen'zi
聚合物钻井液体系,ju'he'wu'zuan'jing'ye'ti'xi
聚磺钻井液,ju'huang'zuan'jing'ye
聚磺钻井液体系,ju'huang'zuan'jing'ye'ti'xi
卡因迪克油田,ka'yin'di'ke'you'tian
卡钻,ka'zuan
勘探,kan'tan
抗高温,kang'gao'wen
抗石膏侵,kang'shi'gao'qin
抗盐,kang'yan
可变性粒子,ke'bian'xing'li'zi
克拉玛依油田,ke'la'ma'yi'you'tian
克上组,ke'shang'zu
克下组,ke'xia'zu
孔喉分布曲线,kong'hou'fen'bu'qu'xian
孔喉直径,kong'hou'zhi'jing
孔隙类型,kong'xi'lei'xing
砾岩,li'yan
裂缝,lie'feng
裂缝性漏失,lie'feng'xing'lou'shi
裂缝性油藏,lie'feng'xing'you'cang
流变性,liu'bian'xing
流动性,liu'dong'xing
流动性好,liu'dong'xing'hao
漏斗粘度,lou'dou'nian'du
陆东地区,lu'dong'di'qu
陆梁油田,lu'liang'you'tian
裸眼井段较长,luo'yan'jing'duan'jiao'chang
氯化钾,lv'hua'jia
绿泥石,lv'ni'shi
滤失量,lv'shi'liang
滤失量低,lv'shi'liang'di
蒙脱石,meng'tuo'shi
敏感性评价,min'gan'xing'ping'jia
莫北,mo'bei
莫索湾地区,mo'suo'wan'di'qu
南缘地区,nan'yuan'di'qu
南缘地区的主要地质特点体现在以下几方面,nan'yuan'di'qu'de'zhu'yao'di'zhi'te'dian'ti'xian'zai'yi'xia'ji'fang'mian
粘附卡钻,nian'fu'ka'zuan
粘土矿物,nian'tu'kuang'wu
凝胶强度,ning'jiao'qiang'du
泡沫欠平衡钻井,pao'mo'qian'ping'heng'zuan'jing
配方,pei'fang
膨胀,peng'zhang
屏蔽暂堵技术,ping'bi'zan'du'ji'shu
平均井深,ping'jun'jing'shen
齐古组,qi'gu'zu
浅层稠油,qian'ceng'chou'you
浅层水平井,qian'ceng'shui'ping'jing
浅井,qian'jing
欠平衡钻井液技术,qian'ping'heng'zuan'jing'ye'ji'shu
欠平衡钻井液体系,qian'ping'heng'zuan'jing'ye'ti'xi
强水敏,qiang'shui'min
强水敏泥岩,qiang'shui'min'ni'yan
强水敏泥岩地层,qiang'shui'min'ni'yan'di'ceng
强氺敏性,qiang'shui'min'xing
强抑制性,qiang'yi'zhi'xing
桥塞堵漏,qiao'sai'du'lou
轻钙,qing'gai
清洁,qing'jie
清洁井眼,qing'jie'jing'yan
氢氧化钾,qing'yang'hua'jia
圈闭,quan'bi
软化点,ruan'hua'dian
润滑剂,run'hua'ji
润滑性,run'hua'xing
三开,san'kai
砂砾岩油藏,sha'li'yan'you'cang
沙南油田,sha'nan'you'tian
砂岩,sha'yan
山前构造,shan'qian'gou'zao
烧房沟组,shao'fang'gou'zu
烧碱,shao'jian
深井钻井液体系,shen'jing'zuan'jing'ye'ti'xi
渗透率,shen'tou'lv
生产时率,sheng'chan'shi'lv
生物聚合物,sheng'wu'ju'he'wu
事故时率,shi'gu'shi'lv
石南油田,shi'nan'you'tian
石炭系,shi'tan'xi
石西油田,shi'xi'you'tian
水化分散,shui'hua'fen'san
水化膨胀,shui'hua'peng'zhang
水敏,shui'min
水敏性,shui'min'xing
水敏性泥页岩,shui'min'xing'ni'ye'yan
水平井,shui'ping'jing
水平井储层保护,shui'ping'jing'chu'ceng'bao'hu
水锁损害,shui'suo'sun'hai
四开,si'kai
速敏,su'min
酸敏,suan'min
缩径,suo'jing
缩径卡钻,suo'jing'ka'zuan
提下钻,ti'xia'zuan
吐谷鲁,tu'gu'lu
乌尔禾油田,wu'er'he'you'tian
乌尔禾组,wu'er'he'zu
无固相,wu'gu'xiang
无固相盐水钻井液,wu'gu'xiang'yan'shui'zuan'jing'ye
西北缘,xi'bei'yuan
西北缘地区,xi'bei'yuan'di'qu
西山窑组,xi'shan'yao'zu
稀油,xi'you
夏子街,xia'zi'jie
夏子街油田,xia'zi'jie'you'tian
现状,xian'zhuang
镶嵌,xiang'qian
消泡剂,xiao'pao'ji
携岩,xie'yan
携岩能力,xie'yan'neng'li
新疆油田,xin'jiang'you'tian
新疆油田公司,xin'jiang'you'tian'gong'si
新疆油田深井钻井技术难度极大其主要原因就是地质条件复杂具体体现在以下几个方面,xin'jiang'you'tian'shen'jing'zuan'jing'ji'shu'nan'du'ji'da'qi'zhu'yao'yuan'yin'jiu'shi'di'zhi'tiao'jian'fu'za'ju'ti'ti'xian'zai'yi'xia'ji'ge'fang'mian
压力激动,ya'li'ji'dong
压力监测,ya'li'jian'ce
压力系数,ya'li'xi'shu
压力系统异常,ya'li'xi'tong'yi'chang
盐敏,yan'min
盐水无固相钻井完井液,yan'shui'wu'gu'xiang'zuan'jing'wan'jing'ye
氧化钙,yang'hua'gai
阳离子,yang'li'zi
伊利石,yi'li'shi
溢流,yi'liu
伊蒙混层,yi'meng'hun'ceng
易水化膨胀,yi'shui'hua'peng'zhang
抑制了地层造浆,yi'zhi'le'di'ceng'zao'jiang
抑制粘土,yi'zhi'nian'tu
诱发井漏,you'fa'jing'lou
有机盐水溶液,you'ji'yan'shui'rong'ye
有机盐钻井液体系,you'ji'yan'zuan'jing'ye'ti'xi
油基钻井液体系,you'ji'zuan'jing'ye'ti'xi
油气层保护,you'qi'ceng'bao'hu
油气层损害,you'qi'ceng'sun'hai
油溶性暂堵剂,you'rong'xing'zan'du'ji
有效改善泥饼质量,you'xiao'gai'shan'ni'bing'zhi'liang
预应力,yu'ying'li
原始压力,yuan'shi'ya'li
在钻膏质泥岩的过程中,zai'zuan'gao'zhi'ni'yan'de'guo'cheng'zhong
造壁性,zao'bi'xing
造成缩径卡钻,zao'cheng'suo'jing'ka'zuan
正电胶,zheng'dian'jiao
正电胶钻井液体系,zheng'dian'jiao'zuan'jing'ye'ti'xi
直井,zhi'jing
直劈裂缝,zhi'pi'lie'feng
中等渗透率,zhong'deng'shen'tou'lv
重钙,zhong'gai
重晶石,zhong'jing'shi
终切,zhong'qie
侏罗系,zhu'luo'xi
准噶尔盆地,zhun'ga'er'pen'di
组成,zu'cheng
钻机月速,zuan'ji'yue'su
钻井,zuan'jing
钻井工程,zuan'jing'gong'cheng
钻井完井液,zuan'jing'wan'jing'ye
钻井液技术,zuan'jing'ye'ji'shu
钻井液滤液,zuan'jing'ye'lv'ye
钻井液体系,zuan'jing'ye'ti'xi
钻井周期,zuan'jing'zhou'qi
钻井周期长,zuan'jing'zhou'qi'chang
