阿诺德,a'nuo'de
攻式第八型,gong'shi'di'ba'xing
攻式第九型,gong'shi'di'jiu'xing
攻式第三型,gong'shi'di'san'xing
攻式第五型,gong'shi'di'wu'xing
攻式第一型,gong'shi'di'yi'xing
公主的决意,gong'zhu'de'jue'yi
古里炎真,gu'li'yan'zhen
骸的部下,hai'de'bu'xia
骸的替身,hai'de'ti'shen
豪华客船上捉迷藏,hao'hua'ke'chuan'shang'zhuo'mi'cang
黑魔咒,hei'mo'zhou
黑曜领队,hei'yao'ling'dui
黑曜篇,hei'yao'pian
黑曜中学,hei'yao'zhong'xue
红色的奶嘴,hong'se'de'nai'zui
后悔,hou'hui
幻海牛,huan'hai'niu
幻骑士,huan'qi'shi
幻术幻术,huan'shu'huan'shu
欢迎光临黑手党岛,huan'ying'guang'lin'hei'shou'dang'dao
黄色的奶嘴,huang'se'de'nai'zui
回旋镖的陷阱,hui'xuan'biao'de'xian'jing
浑浊的奶嘴,hun'zhuo'de'nai'zui
火箭炮,huo'jian'pao
继承,ji'cheng
继承大空的二人,ji'cheng'da'kong'de'er'ren
继承开始,ji'cheng'kai'shi
继承式篇,ji'cheng'shi'pian
基地,ji'di
基地的秘密,ji'di'de'mi'mi
基地在哪里,ji'di'zai'na'li
基里奥内罗家族,ji'li'ao'nei'luo'jia'zu
激突生存体验雪球战,ji'tu'sheng'cun'ti'yan'xue'qiu'zhan
极限加农炮,ji'xian'jia'nong'pao
极限连击,ji'xian'lian'ji
极限热血的大哥,ji'xian're'xue'de'da'ge
极限太阳,ji'xian'tai'yang
极限英格拉姆,ji'xian'ying'ge'la'mu
记忆变色龙,ji'yi'bian'se'long
加百罗涅家族,jia'bai'luo'nie'jia'zu
家光徒弟,jia'guang'tu'di
加特林弓箭,jia'te'lin'gong'jian
加藤朱里,jia'teng'zhu'li
家庭教师出动,jia'ting'jiao'shi'chu'dong
假想空间,jia'xiang'kong'jian
剑帝的教诲,jian'di'de'jiao'hui
监禁,jian'jin
桔梗,jie'geng
桔梗强袭,jie'geng'qiang'xi
结婚快乐,jie'hun'kuai'le
结束和之后的事,jie'shu'he'zhi'hou'de'shi
杰索家族,jie'suo'jia'zu
进退维谷,jin'tui'wei'gu
警戒等级,jing'jie'deng'ji
决断,jue'duan
觉悟的差异,jue'wu'de'cha'yi
觉悟的火焰,jue'wu'de'huo'yan
觉悟和怒火,jue'wu'he'nu'huo
决意,jue'yi
决战之日,jue'zhan'zhi'ri
看不见的敌人的目的,kan'bu'jian'de'di'ren'de'mu'di
可靠的伙伴,ke'kao'de'huo'ban
可乐尼洛,ke'le'ni'luo
可怕的犯罪三兄弟,ke'pa'de'fan'zui'san'xiong'di
恐怖基地的大骚动,kong'bu'ji'di'de'da'sao'dong
库洛姆髑髅,ku'luo'mu'du'lou
拉尔米尔奇,la'er'mi'er'qi
蓝宝,lan'bao
蓝宝的盾牌,lan'bao'de'dun'pai
蓝波,lan'bo
岚的反击,lan'de'fan'ji
兰恰,lan'qia
蓝色的奶嘴,lan'se'de'nai'zui
岚蝎,lan'xie
岚指环,lan'zhi'huan
岚之守护者,lan'zhi'shou'hu'zhe
岚之守护者崛起,lan'zhi'shou'hu'zhe'jue'qi
狼毒,lang'du
老师的训练强化教程,lao'shi'de'xun'lian'qiang'hua'jiao'cheng
雷指环,lei'zhi'huan
雷之守护者,lei'zhi'shou'hu'zhe
里包恩,li'bao'en
里包恩的考验,li'bao'en'de'kao'yan
恋人是花椰菜,lian'ren'shi'hua'ye'cai
连向过去的线索,lian'xiang'guo'qu'de'xian'suo
两场战斗,liang'chang'zhan'dou
列恩,lie'en
列维尔坦,lie'wei'er'tan
临机应变,lin'ji'ying'bian
零地点突破改,ling'di'dian'tu'po'gai
铃兰,ling'lan
铃木爱迪尔海德,ling'mu'ai'di'er'hai'de
另一个大空,ling'yi'ge'da'kong
六道骸,liu'dao'hai
六道轮回,liu'dao'lun'hui
六吊花,liu'diao'hua
留客雨,liu'ke'yu
戮力同心,lu'li'tong'xin
露切,lu'qie
路斯利亚,lu'si'li'ya
孪生的王子,luan'sheng'de'wang'zi
绿色的奶嘴,lv'se'de'nai'zui
玛雷指环,ma'lei'zhi'huan
玛蒙,ma'meng
门外顾问,men'wai'gu'wen
密鲁菲奥雷,mi'lu'fei'ao'lei
密鲁菲奥雷家族,mi'lu'fei'ao'lei'jia'zu
命运的魔术师,ming'yun'de'mo'shu'shi
墨列堤,mo'lie'di
母亲感谢日,mu'qin'gan'xie'ri
纳克尔,na'ke'er
纳克尔的极限,na'ke'er'de'ji'xian
男人的匣兵器,nan'ren'de'xia'bing'qi
你好饺子拳,ni'hao'jiao'zi'quan
逆卷雨,ni'juan'yu
逆转的一招,ni'zhuan'de'yi'zhao
扭转逆境的力量,niu'zhuan'ni'jing'de'li'liang
怒涛的岚战,nu'tao'de'lan'zhan
欧蕾加诺,ou'lei'jia'nuo
排名风太,pai'ming'feng'tai
配合,pei'he
彭格列暗杀部队巴利安,peng'ge'lie'an'sha'bu'dui'ba'li'an
彭格列初代家族,peng'ge'lie'chu'dai'jia'zu
彭格列技术部,peng'ge'lie'ji'shu'bu
彭格列技术部军师,peng'ge'lie'ji'shu'bu'jun'shi
彭格列机械师,peng'ge'lie'ji'xie'shi
彭格列家族,peng'ge'lie'jia'zu
彭格列九代门外顾问首领,peng'ge'lie'jiu'dai'men'wai'gu'wen'shou'ling
彭格列门外顾问,peng'ge'lie'men'wai'gu'wen
彭格列式公开课,peng'ge'lie'shi'gong'kai'ke
彭格列未来篇成员,peng'ge'lie'wei'lai'pian'cheng'yuan
彭格列匣修行开始,peng'ge'lie'xia'xiu'xing'kai'shi
彭格列一世的披风,peng'ge'lie'yi'shi'de'pi'feng
彭格列指环,peng'ge'lie'zhi'huan
彭格列指环有七个,peng'ge'lie'zhi'huan'you'qi'ge
骗人我杀了人,pian'ren'wo'sha'le'ren
七的三次方,qi'de'san'ci'fang
前辈首领全心为家族,qian'bei'shou'ling'quan'xin'wei'jia'zu
强尼二,qiang'ni'er
侵蚀性赤炎之矢,qin'shi'xing'chi'yan'zhi'shi
青叶红叶,qing'ye'hong'ye
晴指环,qing'zhi'huan
晴之守护者,qing'zhi'shou'hu'zhe
晴之守护者的决意,qing'zhi'shou'hu'zhe'de'jue'yi
庆祝升级吃寿司,qing'zhu'sheng'ji'chi'shou'si
去获得机动力吧,qu'huo'de'ji'dong'li'ba
去捉住风吧,qu'zhuo'zhu'feng'ba
雀恭弥,que'gong'mi
染尽一切,ran'jin'yi'qie
人间道,ren'jian'dao
任性小牛的失踪,ren'xing'xiao'niu'de'shi'zong
日常篇,ri'chang'pian
入江正一,ru'jiang'zheng'yi
入江正一的灾难,ru'jiang'zheng'yi'de'zai'nan
入院之前先消音,ru'yuan'zhi'qian'xian'xiao'yin
三浦春,san'pu'chun
山本武,shan'ben'wu
少女心是毁灭型的,shao'nv'xin'shi'hui'mie'xing'de
胜负,sheng'fu
胜负的走向,sheng'fu'de'zou'xiang
柿本千种,shi'ben'qian'zhong
师弟组合集合,shi'di'zu'he'ji'he
史卡鲁,shi'ka'lu
市民游泳池中有鲨鱼,shi'min'you'yong'chi'zhong'you'sha'yu
十年后的世界,shi'nian'hou'de'shi'jie
十年后雾守,shi'nian'hou'wu'shou
时雨之化,shi'yu'zhi'hua
守护者对决云与雾,shou'hu'zhe'dui'jue'yun'yu'wu
手雷,shou'lei
受伤的伙伴,shou'shang'de'huo'ban
守式第二型,shou'shi'di'er'xing
守式第七型,shou'shi'di'qi'xing
守式第四型,shou'shi'di'si'xing
双生子,shuang'sheng'zi
水野薰,shui'ye'xun
斯贝尔比斯夸罗,si'bei'er'bi'si'kua'luo
斯帕纳,si'pa'na
斯佩多,si'pei'duo
斯佩多的魔镜,si'pei'duo'de'mo'jing
死气的零地点突破,si'qi'de'ling'di'dian'tu'po
死亡之山逃出记,si'wang'zhi'shan'tao'chu'ji
塔梅里克,ta'mei'li'ke
逃脱,tao'tuo
特式第十型,te'shi'di'shi'xing
特式第十一型,te'shi'di'shi'yi'xing
天才发明家兼武器调教师,tian'cai'fa'ming'jia'jian'wu'qi'tiao'jiao'shi
天界道,tian'jie'dao
天空之狮,tian'kong'zhi'shi
通往下一场战斗,tong'wang'xia'yi'chang'zhan'dou
突然袭击,tu'ran'xi'ji
突入前夜,tu'ru'qian'ye
退学危机,tui'xue'wei'ji
吞噬一切,tun'shi'yi'qie
威尔帝,wei'er'di
未来的真相,wei'lai'de'zhen'xiang
未来篇,wei'lai'pian
未来完结篇,wei'lai'wan'jie'pian
未来选择篇,wei'lai'xuan'ze'pian
为了同伴,wei'le'tong'ban
温暖之所,wen'nuan'zhi'suo
我是黑手党的十代首领,wo'shi'hei'shou'dang'de'shi'dai'shou'ling
五风十雨,wu'feng'shi'yu
无火焰注入强力导弹,wu'huo'yan'zhu'ru'qiang'li'dao'dan
无限增殖轨道束,wu'xian'zeng'zhi'gui'dao'shu
五月雨,wu'yue'yu
雾指环,wu'zhi'huan
雾之守护者,wu'zhi'shou'hu'zhe
雾之守护者来了,wu'zhi'shou'hu'zhe'lai'le
雾之真实,wu'zhi'zhen'shi
西蒙家族,xi'meng'jia'zu
匣兵器,xia'bing'qi
匣兵器原型,xia'bing'qi'yuan'xing
想赢觉醒的瞬间,xiang'ying'jue'xing'de'shun'jian
筱突雨,xiao'tu'yu
新春一亿元的大决斗,xin'chun'yi'yi'yuan'de'da'jue'dou
新的入侵者,xin'de'ru'qin'zhe
信念,xin'nian
星星王子,xing'xing'wang'zi
修罗道,xiu'luo'dao
修罗开匣,xiu'luo'kai'xia
宣言,xuan'yan
选择结束,xuan'ze'jie'shu
选择开始,xuan'ze'kai'shi
学生们的成长,xue'sheng'men'de'cheng'zhang
寻找守护者,xun'zhao'shou'hu'zhe
燕特攻,yan'te'gong
燕之嘴,yan'zhi'zui
遥远归途,yao'yuan'gui'tu
妖之花,yao'zhi'hua
夜袭,ye'xi
意大利主力战,yi'da'li'zhu'li'zhan
一抹的不安,yi'mo'de'bu'an
因缘的对决,yin'yuan'de'dui'jue
映照雨,ying'zhao'yu
用气势决胜负绝对魔拳,yong'qi'shi'jue'sheng'fu'jue'dui'mo'quan
尤尼,you'ni
尤尼光临,you'ni'guang'lin
雨猫头鹰,yu'mao'tou'ying
预期之外的魔手,yu'qi'zhi'wai'de'mo'shou
狱寺的故事,yu'si'de'gu'shi
狱寺隼人,yu'si'sun'ren
雨指环,yu'zhi'huan
雨之守护者,yu'zhi'shou'hu'zhe
雨之守护者的使命,yu'zhi'shou'hu'zhe'de'shi'ming
援护者们,yuan'hu'zhe'men
原密鲁菲奥雷白魔咒,yuan'mi'lu'fei'ao'lei'bai'mo'zhou
越狱三人组,yue'yu'san'ren'zu
云雀恭弥,yun'que'gong'mi
云指环,yun'zhi'huan
云之守护者,yun'zhi'shou'hu'zhe
云之守护者的暴走,yun'zhi'shou'hu'zhe'de'bao'zou
再会,zai'hui
再来,zai'lai
沢田纲吉,ze'tian'gang'ji
沢田家光,ze'tian'jia'guang
沢田奈奈,ze'tian'nai'nai
战斗的理由,zhan'dou'de'li'you
战斗的隙间,zhan'dou'de'xi'jian
战后,zhan'hou
镇魂歌的雨,zhen'hun'ge'de'yu
真六吊花,zhen'liu'diao'hua
真玛雷指环,zhen'ma'lei'zhi'huan
真相大白,zhen'xiang'da'bai
指环争夺战开始,zhi'huan'zheng'duo'zhan'kai'shi
紫色的奶嘴,zi'se'de'nai'zui
总集奥义,zong'ji'ao'yi
阻挡之雾,zu'dang'zhi'wu
组合拳,zu'he'quan
最初的试练,zui'chu'de'shi'lian
最后的死气弹,zui'hou'de'si'qi'dan
最后的印记,zui'hou'de'yin'ji
最恐怖的家庭教师,zui'kong'bu'de'jia'ting'jiao'shi
最强的剑士,zui'qiang'de'jian'shi
最强的七人,zui'qiang'de'qi'ren
最强的守护者,zui'qiang'de'shou'hu'zhe
最强无敌的流派,zui'qiang'wu'di'de'liu'pai
最强最强,zui'qiang'zui'qiang
最终防御方块,zui'zhong'fang'yu'fang'kuai
最终试炼,zui'zhong'shi'lian
作战,zuo'zhan
作战开始,zuo'zhan'kai'shi
